"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1911,2010,174,1947,2149,163,2303,2436,172
"Belgium",NA,NA,NA,1746,1893,160,2006,2227,156,2016,2191,149
"Bulgaria",241,98,180,343,131,174,469,208,168,670,321,179
"Croatia",NA,NA,NA,NA,NA,NA,938,661,165,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,1871,1661,169,1598,1439,168
"Czech Rep.",757,392,176,936,569,177,948,686,168,1096,698,176
"Denmark",NA,NA,NA,2456,3368,158,2538,3467,143,2680,3729,146
"Estonia",NA,NA,NA,473,302,145,1013,696,162,866,655,166
"Finland",NA,NA,NA,1858,2167,169,1937,2314,165,2053,2511,163
"France",NA,NA,NA,1318,1460,137,1384,1555,137,1619,1744,146
"Germany",NA,NA,NA,2492,2562,168,2395,2501,165,2584,2622,167
"Greece",NA,NA,NA,1678,1441,172,1633,1503,179,1727,1476,177
"Hungary",541,290,188,709,423,184,671,401,166,877,504,169
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1684,1986,166,2182,2638,153,3159,3492,160,2433,2975,138
"Italy",NA,NA,NA,1848,1891,168,1710,1749,161,1536,1581,165
"Latvia",NA,NA,NA,535,307,170,353,321,143,693,486,158
"Lithuania",380,187,163,505,273,158,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,2845,3194,167,NA,NA,NA,2768,3334,179
"Macedonia",NA,NA,NA,NA,NA,NA,1008,390,165,824,383,184
"Malta",NA,NA,NA,689,1108,178,1972,1442,184,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",2101,2143,152,1866,1988,152,2089,2328,153,1841,2022,151
"Norway",NA,NA,NA,2498,3312,152,2759,4075,161,2692,3943,153
"Poland",714,422,187,857,498,173,974,582,162,1173,655,178
"Portugal",NA,NA,NA,1048,852,171,1096,908,172,1016,828,173
"Romania",298,122,186,430,214,179,473,234,169,531,282,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,826,417,182
"Slovakia",630,274,177,594,405,170,970,649,165,965,655,167
"Slovenia",1186,815,178,1270,948,178,1447,1217,170,1313,1072,181
"Spain",1413,1205,174,1614,1457,163,1678,1579,165,1674,1546,168
"Sweden",NA,NA,NA,1745,2103,163,2085,2578,173,2520,3164,176
"Switzerland",NA,NA,NA,NA,NA,NA,2838,4070,172,3258,4850,164
"Turkey",NA,NA,NA,942,542,199,NA,NA,NA,851,509,198
"United Kingdom",2484,2853,172,2717,3066,177,2533,2676,171,2219,2696,177
