"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2434,2559,138,2384,2631,128,2528,2675,134
"Belgium",NA,NA,NA,2389,2589,110,2644,2935,124,2881,3131,124
"Bulgaria",419,170,182,659,251,172,919,408,158,995,476,171
"Croatia",NA,NA,NA,NA,NA,NA,1809,1274,154,NA,NA,NA
"Cyprus",NA,NA,NA,1585,2400,158,3139,2788,139,2245,2022,144
"Czech Rep.",1151,595,169,1505,915,164,1526,1105,164,1670,1064,156
"Denmark",NA,NA,NA,2733,3749,146,3051,4167,148,3035,4223,145
"Estonia",NA,NA,NA,1176,751,142,1354,930,135,1474,1115,144
"Finland",NA,NA,NA,2608,3042,161,2858,3414,153,3008,3679,153
"France",NA,NA,NA,2729,3024,148,2410,2708,142,2576,2774,147
"Germany",NA,NA,NA,3609,3711,163,3723,3889,158,3754,3810,156
"Greece",NA,NA,NA,1868,1603,120,1956,1800,145,1778,1519,157
"Hungary",900,482,193,1184,707,177,1262,754,166,1514,871,168
"Iceland",NA,NA,NA,2102,3152,151,1863,1990,161,2063,2434,153
"Ireland",2762,3256,118,3846,4650,134,3858,4266,130,3535,4322,118
"Italy",NA,NA,NA,1936,1981,108,2692,2755,116,2931,3017,124
"Latvia",NA,NA,NA,905,520,143,783,712,133,1165,817,142
"Lithuania",604,297,129,906,489,126,1028,608,118,1117,701,127
"Luxembourg",NA,NA,NA,4165,4676,156,4031,4876,154,4840,5829,165
"Macedonia",NA,NA,NA,NA,NA,NA,1464,567,164,1290,600,181
"Malta",NA,NA,NA,925,1486,137,1981,1448,117,2523,2040,147
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1360,754,167
"Netherlands",2590,2641,140,2402,2560,140,2796,3115,140,3002,3297,141
"Norway",NA,NA,NA,2994,3970,153,2965,4379,146,3282,4807,145
"Poland",1080,639,131,1152,669,113,1339,800,108,1656,924,120
"Portugal",NA,NA,NA,2374,1929,148,2053,1702,145,1939,1579,146
"Romania",539,222,185,820,409,177,829,411,167,1029,547,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1199,605,156
"Slovakia",873,379,174,779,531,160,1171,783,148,1402,951,160
"Slovenia",2445,1680,176,2576,1923,178,2535,2133,169,2455,2005,178
"Spain",2232,1903,144,2400,2167,134,2366,2226,134,2385,2202,135
"Sweden",NA,NA,NA,2243,2703,156,2364,2924,156,2750,3453,160
"Switzerland",NA,NA,NA,NA,NA,NA,3160,4532,131,3772,5615,144
"Turkey",NA,NA,NA,1924,1106,188,NA,NA,NA,2651,1586,186
"United Kingdom",3705,4255,146,4076,4600,148,3452,3648,148,3302,4011,149
