"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2262,2257,183,2296,2415,178,2296,2534,170,2686,2842,177
"Belgium",NA,NA,NA,2168,2351,168,2301,2554,164,2474,2690,172
"Bulgaria",411,167,183,531,202,175,702,312,164,872,417,182
"Croatia",NA,NA,NA,NA,NA,NA,1054,742,170,NA,NA,NA
"Cyprus",1568,1437,174,1180,1786,173,1900,1688,180,1564,1409,172
"Czech Rep.",864,446,174,1121,682,176,1195,865,175,1382,880,174
"Denmark",2209,2845,132,2430,3333,135,2746,3750,132,2800,3896,134
"Estonia",769,403,185,1123,718,177,1276,877,171,1633,1235,185
"Finland",1875,2224,169,2223,2593,169,2380,2843,168,2572,3146,168
"France",1777,1783,151,1792,1986,153,1761,1980,151,2040,2196,155
"Germany",2515,2602,171,2723,2799,171,2691,2811,166,2996,3040,170
"Greece",1304,1088,176,1639,1406,180,1660,1528,170,1506,1286,168
"Hungary",782,419,187,915,546,185,1065,636,168,1184,681,176
"Iceland",NA,NA,194,NA,NA,191,NA,NA,190,2467,2912,186
"Ireland",2487,2933,167,3074,3716,177,2839,3139,168,2784,3405,169
"Italy",1734,1629,184,1716,1755,175,1850,1893,172,2071,2132,188
"Latvia",541,273,178,743,427,173,571,519,151,1014,711,160
"Lithuania",633,312,179,931,503,174,NA,NA,NA,986,619,176
"Luxembourg",2289,2342,184,2151,2415,175,2222,2688,173,2530,3046,190
"Macedonia",NA,NA,NA,NA,NA,NA,788,305,167,817,380,183
"Malta",1397,1009,190,744,1196,192,2157,1577,204,1880,1521,186
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1077,597,184
"Netherlands",2256,2301,165,2116,2255,163,2501,2786,170,2503,2749,170
"Norway",2419,3533,168,2841,3767,169,2961,4372,166,3188,4669,166
"Poland",968,573,190,1096,637,181,1148,686,173,1526,852,188
"Portugal",909,696,171,922,749,174,1037,860,175,1110,904,174
"Romania",465,191,189,596,298,179,763,378,172,784,417,186
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1040,525,189
"Slovakia",788,343,172,780,532,174,1132,758,167,1358,921,176
"Slovenia",1165,800,178,1303,973,181,1354,1139,168,1606,1311,181
"Spain",1561,1331,184,1672,1510,173,1802,1695,173,1959,1809,173
"Sweden",1906,2385,175,2254,2716,176,2450,3031,175,2762,3468,172
"Switzerland",NA,NA,NA,NA,NA,NA,2880,4130,177,3385,5040,177
"Turkey",NA,NA,NA,868,500,202,NA,NA,NA,1038,621,204
"United Kingdom",2773,3185,187,3075,3470,190,2725,2879,187,2562,3113,185
