"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2314,2309,184,2342,2462,182,2367,2612,176,2615,2767,180
"Belgium",NA,NA,NA,2359,2557,167,2475,2747,161,2519,2738,170
"Bulgaria",423,171,182,548,209,176,724,322,165,817,391,182
"Croatia",NA,NA,NA,NA,NA,NA,1138,802,172,NA,NA,NA
"Cyprus",1562,1432,181,1423,2153,192,2220,1972,188,1896,1707,175
"Czech Rep.",878,454,171,1117,679,174,1186,858,174,1354,863,173
"Denmark",2591,3337,156,2454,3365,140,2789,3809,134,2817,3919,140
"Estonia",815,427,186,1103,705,179,1334,917,173,1605,1213,187
"Finland",1926,2284,170,2284,2664,169,2490,2975,168,2632,3219,168
"France",1699,1704,149,1799,1994,154,1761,1979,152,1999,2153,153
"Germany",2462,2547,169,2685,2761,169,2690,2810,168,2919,2963,170
"Greece",1433,1196,184,NA,NA,NA,1848,1701,179,1631,1393,173
"Hungary",874,468,188,969,578,186,1128,674,171,1204,693,178
"Iceland",2105,2756,209,2313,3467,211,2049,2189,183,2437,2877,191
"Ireland",NA,NA,NA,2519,3045,181,2610,2886,168,2712,3316,168
"Italy",1704,1600,181,1815,1857,179,1949,1995,172,2033,2093,185
"Latvia",595,300,180,766,440,175,606,550,160,1086,762,171
"Lithuania",690,340,179,980,529,175,NA,NA,NA,1289,809,185
"Luxembourg",2318,2373,184,2407,2702,181,2367,2863,176,2657,3200,190
"Macedonia",NA,NA,NA,NA,NA,NA,886,343,169,846,393,183
"Malta",1593,1150,201,803,1291,200,1848,1351,193,1942,1571,179
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1091,605,180
"Netherlands",2204,2248,164,2196,2340,164,2454,2734,177,2448,2688,170
"Norway",2410,3521,166,2919,3871,168,2997,4427,166,3413,4999,165
"Poland",940,556,188,1075,625,181,1299,777,175,1639,915,189
"Portugal",962,737,172,1076,874,175,1193,989,177,1194,973,175
"Romania",488,201,190,630,315,181,840,416,174,830,441,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1018,514,185
"Slovakia",824,358,171,804,548,171,1081,724,166,1289,874,174
"Slovenia",1143,785,174,1291,963,180,1386,1166,169,1655,1351,179
"Spain",1650,1407,184,1764,1593,173,1884,1773,173,2069,1910,172
"Sweden",1824,2282,172,2166,2610,171,2356,2915,172,2713,3406,170
"Switzerland",NA,NA,NA,NA,NA,NA,2969,4258,178,3357,4998,179
"Turkey",NA,NA,NA,905,521,205,NA,NA,NA,1073,642,206
"United Kingdom",2384,2737,188,2552,2880,188,2177,2300,190,2114,2569,190
