"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Professionals","From 30 to 39 years","Males",3863,3855,181,3640,3827,174,3700,4083,170,3986,4218,176
"Belgium","Industry and construction","Professionals","From 30 to 39 years","Males",3401,3405,176,3536,3834,170,3679,4084,164,3959,4303,170
"Bulgaria","Industry and construction","Professionals","From 30 to 39 years","Males",553,224,183,1003,382,175,1340,595,164,1655,792,179
"Croatia","Industry and construction","Professionals","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,2385,1680,168,NA,NA,NA
"Cyprus","Industry and construction","Professionals","From 30 to 39 years","Males",2220,2034,168,1775,2687,170,2775,2465,170,2457,2213,168
"Czech Rep.","Industry and construction","Professionals","From 30 to 39 years","Males",1559,806,168,1964,1194,169,2145,1552,170,2416,1539,170
"Denmark","Industry and construction","Professionals","From 30 to 39 years","Males",3564,4590,162,3793,5203,161,4365,5961,161,4401,6124,161
"Estonia","Industry and construction","Professionals","From 30 to 39 years","Males",1435,752,183,1709,1092,174,2067,1420,166,2731,2065,184
"Finland","Industry and construction","Professionals","From 30 to 39 years","Males",2840,3368,166,3206,3738,164,3387,4046,164,3481,4258,166
"France","Industry and construction","Professionals","From 30 to 39 years","Males",3959,3973,151,3758,4165,184,3526,3963,172,3872,4170,184
"Germany","Industry and construction","Professionals","From 30 to 39 years","Males",4191,4336,169,4498,4625,168,4564,4767,168,5041,5116,169
"Greece","Industry and construction","Professionals","From 30 to 39 years","Males",NA,NA,173,2730,2343,177,2573,2368,171,2118,1809,172
"Hungary","Industry and construction","Professionals","From 30 to 39 years","Males",1898,1017,185,2332,1392,183,2555,1526,167,2788,1604,172
"Iceland","Industry and construction","Professionals","From 30 to 39 years","Males",3500,4583,181,3388,5079,169,3233,3454,166,4180,4933,174
"Ireland","Industry and construction","Professionals","From 30 to 39 years","Males",3792,4471,162,4295,5191,177,3851,4258,167,4158,5084,171
"Italy","Industry and construction","Professionals","From 30 to 39 years","Males",4901,4603,168,2920,2988,176,3000,3069,172,3101,3192,185
"Latvia","Industry and construction","Professionals","From 30 to 39 years","Males",1042,525,177,1269,729,170,1126,1023,156,1749,1227,169
"Lithuania","Industry and construction","Professionals","From 30 to 39 years","Males",881,434,169,1166,630,167,1441,852,160,1754,1100,175
"Luxembourg","Industry and construction","Professionals","From 30 to 39 years","Males",3667,3753,176,3648,4095,174,3821,4622,165,3914,4714,183
"Macedonia","Industry and construction","Professionals","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,1889,731,169,1578,734,183
"Malta","Industry and construction","Professionals","From 30 to 39 years","Males",2078,1501,174,1033,1660,180,2985,2183,185,3296,2666,182
"Montenegro","Industry and construction","Professionals","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,2192,1216,182
"Netherlands","Industry and construction","Professionals","From 30 to 39 years","Males",3374,3441,164,3192,3402,165,3506,3906,167,3573,3924,167
"Norway","Industry and construction","Professionals","From 30 to 39 years","Males",3579,5228,166,4199,5567,164,4524,6681,166,4910,7191,166
"Poland","Industry and construction","Professionals","From 30 to 39 years","Males",1793,1060,187,1936,1125,175,2110,1261,169,2671,1492,185
"Portugal","Industry and construction","Professionals","From 30 to 39 years","Males",2393,1832,157,2432,1976,167,2293,1901,166,2224,1812,169
"Romania","Industry and construction","Professionals","From 30 to 39 years","Males",730,300,188,1083,541,176,1466,726,164,1574,836,184
"Serbia","Industry and construction","Professionals","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,994,185
"Slovakia","Industry and construction","Professionals","From 30 to 39 years","Males",1339,582,174,1333,908,171,2042,1366,163,2245,1523,177
"Slovenia","Industry and construction","Professionals","From 30 to 39 years","Males",2594,1782,180,2882,2151,177,2588,2177,168,2918,2383,182
"Spain","Industry and construction","Professionals","From 30 to 39 years","Males",2890,2463,179,2777,2508,169,2912,2740,170,2988,2758,170
"Sweden","Industry and construction","Professionals","From 30 to 39 years","Males",2827,3538,170,3104,3741,171,3218,3980,173,3530,4433,174
"Switzerland","Industry and construction","Professionals","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,4363,6258,175,4647,6918,174
"Turkey","Industry and construction","Professionals","From 30 to 39 years","Males",NA,NA,NA,2019,1161,196,NA,NA,NA,2815,1684,193
"United Kingdom","Industry and construction","Professionals","From 30 to 39 years","Males",3809,4374,168,3890,4390,171,3670,3878,170,3670,4458,169
