"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",2276,2271,183,2309,2428,179,2317,2557,172,2667,2822,178
"Belgium","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",NA,NA,NA,2253,2442,167,2378,2640,163,2493,2709,171
"Bulgaria","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",416,169,183,537,205,175,710,315,165,846,405,182
"Croatia","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,1082,762,171,NA,NA,NA
"Cyprus","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",1566,1435,176,1263,1912,179,1978,1757,182,1643,1480,172
"Czech Rep.","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",869,449,173,1119,680,175,1192,863,175,1369,872,174
"Denmark","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",2350,3026,141,2437,3343,137,2759,3768,133,2802,3899,135
"Estonia","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",785,411,185,1116,713,178,1296,890,172,1625,1229,186
"Finland","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",1900,2253,169,2252,2626,169,2428,2900,168,2596,3174,168
"France","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",1735,1741,150,1796,1991,153,1761,1979,152,2023,2179,154
"Germany","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",2498,2585,170,2710,2787,171,2690,2810,167,2973,3017,170
"Greece","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",1374,1147,180,1647,1414,180,1753,1613,174,1566,1338,170
"Hungary","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",812,435,187,932,556,185,1083,647,169,1196,688,177
"Iceland","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",2204,2886,199,NA,NA,195,2155,2302,188,2458,2901,188
"Ireland","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",2173,2563,169,2753,3328,179,2719,3006,168,2755,3369,169
"Italy","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",1737,1631,184,1757,1798,177,1884,1928,172,2058,2118,187
"Latvia","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",559,282,179,750,431,174,584,531,154,1032,724,163
"Lithuania","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",654,322,179,945,511,174,912,539,163,1072,672,178
"Luxembourg","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",2295,2349,184,2217,2489,177,2254,2727,174,2566,3090,190
"Macedonia","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,828,321,168,827,385,183
"Malta","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",1504,1086,196,765,1230,195,2035,1488,200,1912,1546,182
"Montenegro","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1086,603,182
"Netherlands","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",2219,2263,165,2124,2263,163,2450,2730,170,2458,2700,169
"Norway","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",2415,3527,167,2870,3806,168,2973,4391,166,3257,4770,166
"Poland","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",958,566,189,1088,632,181,1208,722,174,1572,878,188
"Portugal","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",926,709,171,972,790,174,1088,902,175,1140,929,174
"Romania","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",471,194,189,609,304,180,792,393,173,800,425,187
"Serbia","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1030,520,187
"Slovakia","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",803,349,172,790,538,173,1109,742,167,1324,898,175
"Slovenia","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",1154,793,176,1297,968,180,1363,1147,168,1618,1321,180
"Spain","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",1597,1361,184,1702,1537,173,1831,1722,173,2004,1850,172
"Sweden","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",1861,2329,173,2205,2657,173,2413,2985,174,2744,3446,171
"Switzerland","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,2932,4205,178,3379,5030,178
"Turkey","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",NA,NA,NA,884,508,203,1061,656,206,1053,630,205
"United Kingdom","Industry and construction","Skilled manual workers","From 30 to 39 years","Males",2594,2979,188,2844,3210,189,2519,2662,188,2416,2935,186
