"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2006,2109,168,1883,2078,159,1831,1937,152
"Belgium",NA,NA,NA,1850,2006,151,2075,2304,150,2054,2233,151
"Bulgaria",229,93,182,335,128,171,494,219,161,580,278,180
"Croatia",NA,NA,NA,NA,NA,NA,1261,888,171,NA,NA,NA
"Cyprus",NA,NA,NA,1036,1568,176,1598,1420,174,1453,1309,178
"Czech Rep.",782,404,176,946,575,172,979,709,172,1044,665,171
"Denmark",NA,NA,NA,1905,2613,132,2297,3137,134,2138,2975,128
"Estonia",NA,NA,NA,830,530,179,948,652,170,1178,890,181
"Finland",NA,NA,NA,1735,2023,155,1943,2321,155,2025,2477,157
"France",NA,NA,NA,1527,1692,149,1722,1935,148,1999,2153,151
"Germany",NA,NA,NA,2208,2270,155,2098,2191,151,1979,2009,145
"Greece",NA,NA,NA,1535,1318,176,1462,1345,169,1214,1037,157
"Hungary",604,324,189,680,406,180,833,498,166,1095,630,180
"Iceland",NA,NA,NA,2310,3463,180,1864,1991,169,1892,2233,157
"Ireland",2149,2533,159,2423,2929,171,2388,2641,162,1978,2418,140
"Italy",NA,NA,NA,1756,1796,166,1748,1788,166,1805,1858,174
"Latvia",NA,NA,NA,693,398,169,509,463,146,890,624,154
"Lithuania",540,266,178,617,333,172,696,412,159,786,493,172
"Luxembourg",NA,NA,NA,1994,2238,169,2104,2545,164,2341,2819,177
"Macedonia",NA,NA,NA,NA,NA,NA,959,371,166,726,338,181
"Malta",NA,NA,NA,754,1212,166,1712,1252,154,1512,1223,148
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,963,534,181
"Netherlands",2083,2124,151,2068,2204,155,2094,2333,151,2017,2215,150
"Norway",NA,NA,NA,2236,2964,143,2100,3102,131,2191,3210,127
"Poland",715,423,186,819,476,173,1019,609,166,1251,699,180
"Portugal",NA,NA,NA,1036,842,170,1174,973,168,1022,833,166
"Romania",304,125,190,415,207,178,512,253,167,547,291,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,825,416,184
"Slovakia",712,310,174,631,430,171,908,607,164,1098,744,173
"Slovenia",1242,853,167,1367,1020,182,1392,1171,169,1374,1122,174
"Spain",1537,1310,183,1495,1350,165,1526,1436,167,1501,1385,159
"Sweden",1556,1948,154,1721,2074,149,1832,2266,149,2102,2639,152
"Switzerland",NA,NA,NA,NA,NA,NA,2550,3657,160,2823,4202,159
"Turkey",NA,NA,NA,797,459,200,943,583,201,930,556,200
"United Kingdom",1974,2267,161,1842,2078,158,1748,1848,155,1595,1938,157
