"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,3056,3213,172,2965,3272,168,3207,3394,173
"Belgium",NA,NA,NA,2617,2837,165,2784,3091,159,2827,3072,166
"Bulgaria",543,220,184,829,316,175,1180,524,165,1316,630,182
"Croatia",NA,NA,NA,NA,NA,NA,1697,1195,170,NA,NA,NA
"Cyprus",NA,NA,NA,1358,2055,167,2775,2465,167,2480,2234,170
"Czech Rep.",1247,645,171,1685,1024,171,1800,1303,171,1990,1267,171
"Denmark",NA,NA,NA,3120,4279,156,3645,4978,157,3721,5178,157
"Estonia",NA,NA,NA,1635,1045,173,1674,1150,165,2104,1591,180
"Finland",NA,NA,NA,2560,2985,164,2794,3337,164,2938,3594,164
"France",NA,NA,NA,2261,2506,154,2256,2535,153,2561,2758,154
"Germany",NA,NA,NA,3372,3466,165,3634,3796,166,3597,3650,165
"Greece",NA,NA,NA,1935,1661,173,1974,1817,172,1864,1593,174
"Hungary",1209,648,185,1378,823,181,1604,958,167,1793,1032,172
"Iceland",NA,NA,NA,3026,4538,162,2796,2986,168,3202,3779,170
"Ireland",3021,3562,154,3277,3961,175,3400,3760,167,3104,3796,146
"Italy",NA,NA,NA,2279,2332,163,2437,2494,167,2675,2753,182
"Latvia",NA,NA,NA,1056,607,164,990,900,155,1549,1086,166
"Lithuania",726,357,162,928,501,157,1081,639,150,1315,825,170
"Luxembourg",NA,NA,NA,3622,4066,173,3425,4143,168,3467,4175,182
"Macedonia",NA,NA,NA,NA,NA,NA,1436,556,169,1230,572,182
"Malta",NA,NA,NA,888,1427,172,2425,1773,184,2503,2025,178
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1641,910,178
"Netherlands",2799,2855,160,2686,2863,158,2956,3294,160,3060,3361,162
"Norway",NA,NA,NA,3480,4614,162,3809,5625,162,4131,6050,161
"Poland",1326,784,185,1515,880,173,1690,1010,166,2092,1168,182
"Portugal",NA,NA,NA,1962,1594,168,1852,1535,170,1813,1477,171
"Romania",644,265,186,787,393,177,1068,529,166,1142,607,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1405,709,185
"Slovakia",1192,518,174,1166,795,169,1708,1143,163,1838,1246,175
"Slovenia",1908,1311,178,2007,1498,178,2074,1745,168,2291,1871,181
"Spain",2306,1966,179,2255,2037,167,2280,2146,169,2353,2172,167
"Sweden",2425,3034,171,2653,3197,168,2899,3586,171,3144,3948,171
"Switzerland",NA,NA,NA,NA,NA,NA,3806,5459,172,4220,6282,174
"Turkey",NA,NA,NA,1426,820,199,1616,999,201,1638,979,202
"United Kingdom",3496,4015,163,3526,3979,165,3128,3305,167,2801,3403,167
