"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",NA,NA,NA,2494,2623,174,2501,2760,167,2773,2934,170
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",NA,NA,NA,2442,2647,162,2618,2906,157,2844,3092,162
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",396,161,183,566,216,174,875,388,162,1071,513,180
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,1468,1034,169,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",NA,NA,NA,1306,1976,171,2336,2075,171,1970,1775,170
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",1125,581,172,1442,877,173,1557,1127,173,1735,1105,172
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",NA,NA,NA,2709,3715,144,3175,4337,144,3168,4408,142
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",NA,NA,NA,1398,893,174,1643,1129,165,1899,1436,180
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",NA,NA,NA,2476,2888,164,2746,3280,163,2815,3443,163
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",NA,NA,NA,2231,2472,157,2286,2569,154,2550,2746,157
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",NA,NA,NA,2958,3041,166,2946,3077,163,3148,3195,161
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Total","From 30 to 39 years","Males",NA,NA,NA,1766,1516,169,1803,1660,168,1613,1378,166
