"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1966,1962,179,2049,2154,176,2115,2334,171,2477,2621,175
"Belgium",NA,NA,NA,1924,2085,161,2145,2381,161,2399,2607,164
"Bulgaria",328,133,182,422,161,170,676,300,161,799,382,180
"Croatia",NA,NA,NA,NA,NA,NA,1391,980,170,NA,NA,NA
"Cyprus",1512,1385,172,NA,NA,NA,2023,1797,174,1558,1403,174
"Czech Rep.",877,453,173,1137,691,173,1187,859,173,1293,824,174
"Denmark",2385,3071,140,2484,3407,144,2873,3923,143,2753,3830,138
"Estonia",725,380,183,1312,838,177,1232,846,168,1618,1224,183
"Finland",1769,2098,167,2055,2396,167,2334,2788,166,2371,2900,167
"France",1767,1773,151,1694,1878,155,1839,2067,156,1922,2070,149
"Germany",2286,2365,168,2272,2336,167,2236,2335,165,2473,2510,166
"Greece",1449,1210,175,1828,1569,181,1723,1586,169,1653,1412,171
"Hungary",674,361,183,780,465,179,950,567,166,995,573,167
"Iceland",NA,NA,NA,2745,4116,NA,2235,2387,NA,2453,2895,179
"Ireland",1874,2209,164,2447,2958,174,2656,2937,164,2546,3113,148
"Italy",1696,1593,185,1753,1794,177,1608,1646,167,1565,1611,165
"Latvia",552,278,174,735,422,171,679,617,159,1065,747,164
"Lithuania",528,260,173,748,404,170,NA,NA,NA,956,600,164
"Luxembourg",2330,2384,176,2219,2491,164,NA,NA,NA,2543,3062,181
"Macedonia",NA,NA,NA,NA,NA,NA,951,368,164,833,388,178
"Malta",1495,1080,193,752,1208,180,1644,1202,170,1716,1388,174
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,925,513,181
"Netherlands",1880,1918,147,1877,2000,153,2178,2427,159,2090,2295,155
"Norway",2258,3298,163,2697,3576,166,2796,4129,164,2818,4127,157
"Poland",871,515,187,937,544,177,1177,704,169,1366,763,184
"Portugal",1031,790,171,1097,891,174,1190,987,175,1268,1033,173
"Romania",483,199,185,593,296,177,789,391,168,724,385,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,908,458,184
"Slovakia",727,316,169,682,465,172,1093,731,165,1235,837,175
"Slovenia",1345,924,164,1429,1067,179,1459,1228,167,1583,1292,180
"Spain",1613,1375,183,1681,1518,172,1851,1742,171,1833,1692,171
"Sweden",1788,2237,174,2095,2524,176,2378,2941,177,2642,3317,176
"Switzerland",NA,NA,NA,NA,NA,NA,2926,4196,179,3030,4510,163
"Turkey",NA,NA,NA,943,543,200,NA,NA,NA,1170,700,204
"United Kingdom",2598,2984,185,2818,3181,184,2529,2672,182,2356,2863,182
