"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2095,2090,200,2057,2162,197,1991,2197,187,2203,2331,188
"Belgium",NA,NA,NA,2033,2204,168,2121,2355,158,2288,2487,157
"Bulgaria",325,132,184,400,152,175,609,270,163,635,304,182
"Croatia",NA,NA,NA,NA,NA,NA,1107,780,169,NA,NA,NA
"Cyprus",1215,1113,177,NA,NA,NA,NA,NA,NA,1501,1352,173
"Czech Rep.",925,478,181,1018,619,176,1022,740,177,1066,679,175
"Denmark",1573,2025,107,2121,2909,132,2650,3620,140,2660,3701,137
"Estonia",700,367,190,1034,660,182,1109,762,170,1277,966,182
"Finland",1820,2158,172,2002,2335,172,2434,2908,171,2477,3029,168
"France",1687,1692,158,1768,1960,163,1844,2073,161,2076,2236,161
"Germany",2158,2233,182,2045,2102,174,1990,2079,173,2037,2067,164
"Greece",1259,1051,174,2010,1725,185,1768,1627,175,1550,1324,170
"Hungary",711,381,187,821,490,182,963,575,168,1059,610,175
"Iceland",NA,NA,NA,NA,NA,NA,1771,1891,188,2311,2727,203
"Ireland",2226,2624,174,2406,2908,178,2444,2702,176,2133,2608,153
"Italy",1690,1587,168,1948,1993,181,1892,1936,175,1835,1888,178
"Latvia",498,251,178,691,397,173,654,594,156,920,645,153
"Lithuania",475,234,173,566,306,169,NA,NA,NA,893,560,183
"Luxembourg",2308,2362,187,NA,NA,NA,NA,NA,NA,2349,2829,179
"Macedonia",NA,NA,NA,NA,NA,NA,864,334,157,685,319,177
"Malta",1825,1318,202,NA,NA,NA,NA,NA,NA,1650,1335,182
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,941,522,177
"Netherlands",2293,2339,172,1885,2009,168,2230,2484,176,1963,2156,156
"Norway",2103,3071,163,2483,3292,163,2609,3854,158,2731,4000,155
"Poland",846,500,188,895,520,179,1030,615,172,1180,659,186
"Portugal",991,759,174,1118,908,179,1108,919,177,1086,885,176
"Romania",442,182,190,534,267,179,655,325,167,624,332,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,925,467,184
"Slovakia",718,312,173,668,456,171,910,609,167,983,667,174
"Slovenia",1190,818,182,1365,1019,179,1425,1199,172,1440,1176,181
"Spain",1498,1277,183,1514,1368,170,1589,1495,166,1675,1546,166
"Sweden",1576,1972,167,1954,2355,174,2158,2670,175,2472,3104,175
"Switzerland",NA,NA,NA,NA,NA,NA,2800,4016,178,3117,4641,178
"Turkey",NA,NA,NA,785,451,204,NA,NA,NA,928,555,197
"United Kingdom",2344,2692,202,2471,2788,197,2125,2245,189,2168,2634,193
