"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2040,2036,191,2053,2158,187,2049,2262,179,2342,2478,182
"Belgium",NA,NA,NA,1990,2157,165,2130,2365,159,2335,2538,160
"Bulgaria",326,132,183,407,155,173,628,279,162,748,358,181
"Croatia",NA,NA,NA,NA,NA,NA,1213,855,170,NA,NA,NA
"Cyprus",1389,1273,173,995,1507,171,1772,1574,176,1519,1368,174
"Czech Rep.",902,466,177,1070,650,175,1068,773,176,1125,717,175
"Denmark",1901,2448,120,2306,3163,138,2750,3755,141,2698,3755,137
"Estonia",710,372,187,1134,724,180,1157,795,169,1438,1087,182
"Finland",1799,2133,170,2022,2358,170,2385,2849,169,2420,2959,168
"France",1716,1722,155,1753,1943,160,1841,2069,159,2024,2179,157
"Germany",2222,2299,175,2150,2211,171,2109,2203,169,2261,2294,165
"Greece",1337,1116,174,1819,1561,181,1753,1613,173,1586,1355,170
"Hungary",693,371,185,801,478,181,955,570,167,1026,590,171
"Iceland",2149,2814,190,2489,3733,NA,NA,NA,NA,2366,2793,194
"Ireland",2120,2499,171,2408,2911,176,2519,2785,171,2345,2868,149
"Italy",1746,1640,181,1881,1924,179,1774,1815,172,1708,1758,172
"Latvia",518,261,176,706,406,172,663,603,157,970,680,156
"Lithuania",492,242,173,627,339,169,NA,NA,NA,914,573,177
"Luxembourg",2319,2373,181,2282,2561,171,2221,2687,165,2420,2915,180
"Macedonia",NA,NA,NA,NA,NA,NA,899,348,160,739,344,177
"Malta",1686,1217,198,742,1193,180,1715,1254,170,1674,1354,178
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,935,519,178
"Netherlands",2081,2123,160,1873,1996,160,2175,2423,166,2012,2210,154
"Norway",2171,3171,163,2592,3437,164,2702,3991,161,2778,4068,156
"Poland",857,507,188,911,530,178,1081,646,171,1244,695,185
"Portugal",1009,772,172,1102,896,176,1133,939,176,1157,942,175
"Romania",458,188,187,556,277,178,699,347,167,659,350,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,922,465,184
"Slovakia",722,314,171,674,459,171,968,648,166,1051,712,175
"Slovenia",1255,862,174,1387,1035,179,1442,1213,170,1511,1233,180
"Spain",1539,1312,183,1584,1431,171,1684,1585,168,1742,1608,168
"Sweden",1665,2084,170,2013,2425,175,2241,2772,176,2529,3175,176
"Switzerland",NA,NA,NA,NA,NA,NA,2814,4036,178,3068,4567,170
"Turkey",NA,NA,NA,851,489,202,891,551,200,1026,614,200
"United Kingdom",2453,2817,194,2608,2943,192,2274,2403,186,2241,2723,187
