"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Total","From 30 to 39 years","Males",2410,2405,179,2470,2597,176,2470,2726,169,2707,2865,169
"Belgium","Services of the business economy","Total","From 30 to 39 years","Males",2495,2499,171,2513,2725,162,2672,2967,156,2854,3102,161
"Bulgaria","Services of the business economy","Total","From 30 to 39 years","Males",388,157,182,618,235,173,987,438,162,1213,580,180
"Croatia","Services of the business economy","Total","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,1696,1195,170,NA,NA,NA
"Cyprus","Services of the business economy","Total","From 30 to 39 years","Males",1748,1602,173,1343,2033,171,2425,2154,173,1960,1765,172
"Czech Rep.","Services of the business economy","Total","From 30 to 39 years","Males",1332,689,173,1679,1021,172,1768,1280,173,1901,1211,172
"Denmark","Services of the business economy","Total","From 30 to 39 years","Males",2663,3430,143,2833,3885,144,3351,4576,147,3282,4566,142
"Estonia","Services of the business economy","Total","From 30 to 39 years","Males",1170,613,184,1620,1035,176,1842,1266,166,2102,1590,181
"Finland","Services of the business economy","Total","From 30 to 39 years","Males",2192,2599,164,2501,2916,162,2814,3362,161,2831,3462,162
"France","Services of the business economy","Total","From 30 to 39 years","Males",2292,2300,150,2281,2527,159,2398,2695,157,2661,2865,158
"Germany","Services of the business economy","Total","From 30 to 39 years","Males",2813,2910,167,2870,2951,164,2823,2948,162,2939,2983,158
"Greece","Services of the business economy","Total","From 30 to 39 years","Males",1481,1236,NA,1771,1521,173,1776,1635,168,1606,1372,164
"Hungary","Services of the business economy","Total","From 30 to 39 years","Males",1033,554,184,1251,747,180,1539,919,165,1698,977,170
"Iceland","Services of the business economy","Total","From 30 to 39 years","Males",2348,3075,177,3034,4549,181,2655,2836,173,2898,3420,177
"Ireland","Services of the business economy","Total","From 30 to 39 years","Males",2805,3307,159,3063,3703,172,3267,3612,164,2877,3518,145
"Italy","Services of the business economy","Total","From 30 to 39 years","Males",1976,1856,176,2027,2074,169,2032,2079,165,2058,2119,175
"Latvia","Services of the business economy","Total","From 30 to 39 years","Males",760,383,176,1092,628,169,994,903,154,1560,1094,163
"Lithuania","Services of the business economy","Total","From 30 to 39 years","Males",805,396,172,997,539,168,1151,680,158,1426,894,174
"Luxembourg","Services of the business economy","Total","From 30 to 39 years","Males",3159,3233,176,3266,3667,172,3181,3848,166,3397,4091,181
"Macedonia","Services of the business economy","Total","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,1429,554,165,1167,543,180
"Malta","Services of the business economy","Total","From 30 to 39 years","Males",1789,1292,176,916,1471,168,2319,1696,167,2347,1899,166
"Montenegro","Services of the business economy","Total","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1424,790,178
"Netherlands","Services of the business economy","Total","From 30 to 39 years","Males",2661,2714,161,2459,2620,156,2788,3106,160,2774,3046,160
"Norway","Services of the business economy","Total","From 30 to 39 years","Males",2764,4037,159,3176,4211,159,3349,4946,156,3501,5127,153
"Poland","Services of the business economy","Total","From 30 to 39 years","Males",1211,716,186,1499,871,175,1816,1085,166,2184,1220,181
"Portugal","Services of the business economy","Total","From 30 to 39 years","Males",1597,1223,170,1620,1316,171,1643,1362,169,1508,1228,168
"Romania","Services of the business economy","Total","From 30 to 39 years","Males",545,224,187,728,364,177,1025,508,167,1156,614,181
"Serbia","Services of the business economy","Total","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1254,633,185
"Slovakia","Services of the business economy","Total","From 30 to 39 years","Males",1125,489,173,1130,770,171,1579,1057,164,1788,1212,175
"Slovenia","Services of the business economy","Total","From 30 to 39 years","Males",1697,1166,172,1881,1404,178,1902,1600,168,1989,1624,178
"Spain","Services of the business economy","Total","From 30 to 39 years","Males",1966,1676,180,1934,1746,168,2027,1907,168,2033,1877,166
"Sweden","Services of the business economy","Total","From 30 to 39 years","Males",2336,2924,168,2622,3159,169,2776,3434,168,3016,3787,168
"Switzerland","Services of the business economy","Total","From 30 to 39 years","Males",NA,NA,NA,NA,NA,NA,3583,5138,171,4118,6131,169
"Turkey","Services of the business economy","Total","From 30 to 39 years","Males",NA,NA,NA,1202,692,198,1314,812,198,1365,816,199
"United Kingdom","Services of the business economy","Total","From 30 to 39 years","Males",3541,4066,172,3738,4219,172,3312,3500,167,3013,3661,168
