"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2343,2338,182,2353,2474,178,2330,2571,170,2758,2918,177
"Belgium",NA,NA,NA,2202,2387,167,2412,2678,163,2612,2839,170
"Bulgaria",423,171,183,579,221,175,800,355,165,907,434,181
"Croatia",NA,NA,NA,NA,NA,NA,1126,793,171,NA,NA,NA
"Cyprus",1778,1629,173,1282,1941,170,2247,1996,176,1836,1654,172
"Czech Rep.",856,442,174,1113,677,175,1193,863,175,1394,888,174
"Denmark",2351,3028,141,2546,3492,141,2905,3967,138,3009,4186,140
"Estonia",763,400,183,1064,680,176,1178,809,170,1558,1178,184
"Finland",1917,2274,169,2223,2593,168,2442,2918,167,2609,3191,168
"France",1860,1866,151,1875,2078,152,1836,2064,152,2144,2309,153
"Germany",2539,2627,170,2754,2831,170,2777,2901,166,3065,3111,169
"Greece",1797,1500,181,2347,2015,186,2245,2067,172,1997,1706,173
"Hungary",775,415,186,899,537,184,1065,636,167,1142,657,173
"Iceland",2671,3498,205,2558,3836,198,2519,2691,199,2720,3210,191
"Ireland",2571,3032,172,3111,3761,177,3324,3675,171,3040,3717,162
"Italy",1850,1737,182,1918,1963,178,1947,1993,170,2156,2220,183
"Latvia",543,274,178,716,412,172,580,527,155,1021,716,166
"Lithuania",625,308,177,905,489,172,NA,NA,NA,976,612,176
"Luxembourg",2485,2543,182,2362,2651,175,2377,2875,170,2682,3229,187
"Macedonia",NA,NA,NA,NA,NA,NA,877,340,167,933,434,182
"Malta",1556,1124,186,777,1248,187,2279,1666,195,1890,1529,182
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1149,637,182
"Netherlands",2304,2349,163,2212,2358,160,2574,2868,165,2575,2828,166
"Norway",2469,3607,167,2900,3845,168,3020,4460,165,3219,4715,163
"Poland",958,567,189,1158,673,181,1240,741,173,1615,902,188
"Portugal",1025,785,171,1047,851,174,1117,926,174,1216,990,174
"Romania",484,199,188,630,314,179,838,415,172,856,455,186
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1044,527,187
"Slovakia",776,337,173,755,515,174,1107,741,166,1338,907,175
"Slovenia",1236,849,177,1341,1001,181,1411,1187,168,1633,1333,180
"Spain",1709,1457,184,1807,1632,173,1931,1817,173,2047,1890,172
"Sweden",1886,2361,175,2231,2688,175,2461,3044,175,2844,3570,175
"Switzerland",NA,NA,NA,NA,NA,NA,3068,4400,178,3545,5278,176
"Turkey",NA,NA,NA,1135,653,201,1277,789,202,1170,699,204
"United Kingdom",2807,3223,186,3076,3471,188,2741,2897,185,2656,3227,185
