"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1821,1817,178,1778,1869,170,1753,1935,164,1979,2094,166
"Belgium",2258,2261,177,2135,2314,161,2204,2446,153,2244,2439,157
"Bulgaria",244,99,180,320,122,173,453,201,153,554,265,179
"Croatia",NA,NA,NA,NA,NA,NA,1020,718,170,NA,NA,NA
"Cyprus",1395,1279,177,1043,1579,178,1827,1623,173,1357,1222,167
"Czech Rep.",658,340,168,841,511,170,979,709,173,1004,639,173
"Denmark",2094,2697,136,2060,2826,128,2298,3138,126,2192,3050,117
"Estonia",547,287,180,712,455,170,809,556,164,1081,817,177
"Finland",1692,2006,165,1860,2169,163,2063,2464,163,2227,2723,166
"France",1525,1530,142,1571,1741,146,1506,1692,140,1833,1974,146
"Germany",2052,2123,161,2069,2127,156,1769,1848,150,1432,1453,116
"Greece",1348,1125,178,1946,1670,179,1458,1342,166,1349,1153,163
"Hungary",548,293,182,577,345,177,685,409,160,832,479,165
"Iceland",NA,NA,NA,2146,3218,214,1745,1864,188,2253,2660,200
"Ireland",1878,2214,165,2485,3004,175,2375,2626,166,2390,2922,151
"Italy",1742,1636,176,1530,1566,164,1657,1695,165,1731,1782,176
"Latvia",496,250,174,617,355,168,460,418,146,691,485,152
"Lithuania",382,188,170,609,329,167,614,363,156,677,425,168
"Luxembourg",2332,2386,179,1998,2243,171,2139,2588,166,2248,2708,182
"Macedonia",NA,NA,NA,NA,NA,NA,869,336,168,732,340,182
"Malta",1299,938,180,590,948,172,1476,1079,183,1462,1183,170
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,947,525,179
"Netherlands",2064,2105,157,1758,1873,146,1817,2024,153,1904,2091,149
"Norway",2778,4058,156,2172,2880,143,2517,3718,151,2453,3592,145
"Poland",658,389,187,767,446,175,977,584,171,1172,654,184
"Portugal",796,610,169,901,732,175,950,787,168,1010,822,170
"Romania",275,113,191,377,188,179,485,240,169,549,292,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,929,469,186
"Slovakia",586,255,170,558,380,171,813,544,161,973,660,172
"Slovenia",979,672,171,1059,791,179,1150,967,165,1327,1083,178
"Spain",1216,1036,175,1353,1222,169,1471,1384,162,1531,1413,162
"Sweden",1930,2416,167,1821,2195,165,1919,2374,159,2013,2528,154
"Switzerland",NA,NA,NA,NA,NA,NA,2269,3255,163,3188,4746,166
"Turkey",NA,NA,NA,802,462,199,933,576,202,840,502,199
"United Kingdom",2024,2324,180,2301,2597,185,1909,2018,174,1761,2140,169
