"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",4434,4424,174,4724,4968,174,4392,4848,168,4766,5043,173
"Belgium",4103,4109,174,4228,4583,168,4309,4783,159,4791,5208,167
"Bulgaria",689,279,181,1075,410,174,1714,761,165,2099,1005,180
"Croatia",NA,NA,NA,NA,NA,NA,2646,1864,169,NA,NA,NA
"Cyprus",2707,2481,170,2283,3455,169,3989,3543,169,4213,3794,167
"Czech Rep.",1542,797,168,2194,1334,169,2561,1853,169,3012,1919,169
"Denmark",4072,5244,162,4400,6035,160,4873,6655,158,5039,7011,158
"Estonia",1329,696,178,1766,1128,172,2217,1523,164,2711,2050,180
"Finland",2972,3525,165,3409,3976,163,3760,4492,163,4071,4979,163
"France",4085,4099,151,4192,4645,177,4174,4691,167,4611,4965,171
"Germany",4750,4915,168,5163,5308,168,5337,5575,169,5846,5932,168
"Greece",2974,2482,183,3310,2841,174,3536,3254,168,3055,2610,168
"Hungary",1922,1030,183,2499,1492,179,3157,1886,165,3092,1779,170
"Iceland",NA,NA,NA,4079,6115,171,3753,4008,166,4617,5449,171
"Ireland",4335,5110,158,4850,5863,171,5055,5589,164,5297,6477,162
"Italy",5847,5492,172,3377,3456,174,3917,4008,167,3823,3935,180
"Latvia",1014,512,177,1343,771,167,1131,1028,153,1835,1287,155
"Lithuania",939,462,169,1068,577,162,1491,882,158,1637,1027,169
"Luxembourg",5107,5227,174,5045,5664,171,5106,6177,169,5128,6176,181
"Macedonia",NA,NA,NA,NA,NA,NA,2034,788,169,1948,906,181
"Malta",2449,1768,168,1246,2003,171,3186,2330,176,3224,2607,173
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,2522,1399,182
"Netherlands",3687,3761,163,3986,4248,160,4124,4595,160,4419,4853,166
"Norway",3991,5830,163,4629,6138,164,4800,7090,163,5340,7820,162
"Poland",1898,1122,182,2164,1257,172,2518,1505,164,3321,1854,180
"Portugal",2965,2271,167,3266,2654,165,3276,2716,163,3331,2713,166
"Romania",824,339,185,1175,586,174,1574,780,164,1882,1000,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2178,1099,185
"Slovakia",1431,622,173,1488,1014,168,2339,1565,161,2645,1794,175
"Slovenia",3377,2319,176,3629,2709,176,3237,2723,167,3595,2935,180
"Spain",4164,3549,177,3669,3313,168,3556,3346,169,3626,3347,169
"Sweden",3339,4179,170,3684,4440,169,3826,4733,171,4247,5333,172
"Switzerland",NA,NA,NA,NA,NA,NA,5862,8407,175,5901,8784,174
"Turkey",NA,NA,NA,2481,1427,193,2929,1810,190,3487,2085,186
"United Kingdom",4509,5178,166,4897,5527,166,4496,4751,165,4279,5198,165
