"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1496,1573,165,1403,1549,155,1758,1860,158
"Belgium",NA,NA,NA,1530,1659,155,1725,1915,150,1792,1948,148
"Bulgaria",201,82,182,264,101,164,413,183,164,476,228,175
"Croatia",NA,NA,NA,NA,NA,NA,949,669,168,NA,NA,NA
"Cyprus",NA,NA,NA,981,1484,169,2043,1815,169,1584,1427,165
"Czech Rep.",598,309,175,693,422,169,734,531,169,749,477,165
"Denmark",NA,NA,NA,2134,2927,153,2211,3020,142,2164,3010,136
"Estonia",NA,NA,NA,398,254,154,493,339,145,555,420,150
"Finland",NA,NA,NA,1517,1769,160,1401,1674,152,1485,1816,150
"France",NA,NA,NA,1268,1405,138,1136,1276,133,1084,1167,136
"Germany",NA,NA,NA,2194,2256,155,1479,1545,138,1277,1296,108
"Greece",NA,NA,NA,2287,1963,182,2109,1941,178,1636,1398,159
"Hungary",479,257,183,582,348,171,587,351,156,698,402,158
"Iceland",NA,NA,NA,1003,1504,116,1100,1175,137,1335,1576,150
"Ireland",1660,1957,127,1844,2229,154,2503,2768,145,2417,2955,139
"Italy",NA,NA,NA,1665,1704,154,1646,1684,157,1493,1536,157
"Latvia",NA,NA,NA,374,215,166,311,283,152,492,345,152
"Lithuania",307,151,166,422,228,162,462,273,152,494,310,158
"Luxembourg",NA,NA,NA,2277,2556,171,1738,2102,166,1909,2299,177
"Macedonia",NA,NA,NA,NA,NA,NA,739,286,167,637,296,181
"Malta",NA,NA,NA,631,1013,188,1333,975,173,1449,1172,161
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",2081,2122,148,1613,1719,134,1766,1968,141,2060,2262,146
"Norway",NA,NA,NA,2037,2701,149,2232,3297,137,2141,3136,140
"Poland",600,355,185,668,388,162,800,478,155,958,535,168
"Portugal",NA,NA,NA,925,752,158,962,798,161,938,764,167
"Romania",272,112,185,384,192,180,367,182,162,452,240,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,615,310,178
"Slovakia",448,195,174,442,301,163,706,473,155,704,477,157
"Slovenia",1119,768,172,1072,800,178,1305,1098,168,1260,1029,180
"Spain",1396,1190,168,1478,1335,156,1244,1171,152,1207,1114,153
"Sweden",NA,NA,NA,1691,2038,160,1622,2007,152,1925,2417,157
"Switzerland",NA,NA,NA,NA,NA,NA,2074,2974,154,2313,3444,135
"Turkey",NA,NA,NA,737,424,196,NA,NA,NA,749,448,196
"United Kingdom",1754,2014,168,1658,1871,152,1526,1613,143,1353,1643,138
