"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,2967,3120,153,2736,3019,145,2908,3077,143
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,2786,3020,129,3141,3486,139,3117,3388,133
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",462,187,181,723,276,171,997,442,159,1105,529,173
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,1943,1368,157,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,1908,2888,159,3823,3396,147,3243,2921,151
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",1209,625,167,1505,915,166,1657,1199,168,1775,1130,163
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,2917,4001,148,3268,4463,149,3231,4496,145
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,1249,798,151,1434,985,141,1606,1215,152
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,2765,3225,161,2924,3493,158,3093,3782,159
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,2622,2906,144,2444,2747,143,2835,3054,147
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,3568,3668,161,3617,3779,158,3822,3879,155
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,2230,1914,149,2052,1889,142,2025,1730,157
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",1012,542,190,1291,770,178,1348,805,167,1589,914,171
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,2702,4052,168,2090,2232,165,2447,2888,160
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",3314,3907,121,4305,5203,140,4188,4631,145,3712,4538,130
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,2341,2395,130,2699,2762,142,2658,2736,146
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,934,537,151,734,667,136,1177,825,146
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",727,358,144,906,490,135,1019,602,124,1154,724,134
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,4534,5090,163,4449,5382,161,5493,6615,173
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,1398,541,168,1211,563,182
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,920,1479,150,2154,1575,156,2465,1994,153
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1380,766,176
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",3085,3147,145,2684,2860,141,3027,3372,138,3174,3486,138
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,3121,4139,147,2972,4390,139,3293,4823,140
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",1225,725,147,1392,809,127,1536,918,118,1944,1086,133
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,2720,2210,152,2436,2019,151,2215,1805,157
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",652,268,188,963,481,177,948,470,166,1048,557,179
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1279,645,177
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",920,400,175,821,559,162,1268,848,150,1550,1051,162
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",2711,1862,180,2725,2034,179,2745,2309,168,2674,2183,180
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",2455,2092,158,2662,2404,147,2419,2276,144,2411,2226,143
"Sweden","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,2337,2816,155,2465,3049,156,2864,3596,159
"Switzerland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,3589,5148,139,4248,6324,149
"Turkey","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,1775,1021,189,2677,1654,185,3112,1861,190
"United Kingdom","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Non manual workers","From 40 to 49 years","Males",3585,4116,150,3873,4371,151,3490,3688,151,3312,4024,153
