"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Non manual workers","From 40 to 49 years","Males",3873,3864,178,3994,4200,175,4041,4459,170,4536,4800,177
"Belgium","Industry and construction","Non manual workers","From 40 to 49 years","Males",3571,3575,178,3623,3927,170,3868,4294,162,4289,4662,170
"Bulgaria","Industry and construction","Non manual workers","From 40 to 49 years","Males",593,240,183,800,305,175,1228,545,166,1530,732,181
"Croatia","Industry and construction","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,1912,1347,170,NA,NA,NA
"Cyprus","Industry and construction","Non manual workers","From 40 to 49 years","Males",2406,2205,169,1657,2508,171,3202,2844,169,2767,2492,168
"Czech Rep.","Industry and construction","Non manual workers","From 40 to 49 years","Males",1477,764,169,1964,1194,170,2107,1525,170,2465,1570,170
"Denmark","Industry and construction","Non manual workers","From 40 to 49 years","Males",3695,4759,162,4024,5519,161,4634,6329,160,4777,6647,160
"Estonia","Industry and construction","Non manual workers","From 40 to 49 years","Males",1330,697,182,1683,1075,175,1951,1341,168,2346,1774,182
"Finland","Industry and construction","Non manual workers","From 40 to 49 years","Males",2602,3086,167,3284,3830,165,3773,4507,165,3945,4825,166
"France","Industry and construction","Non manual workers","From 40 to 49 years","Males",3347,3359,150,3583,3971,169,3277,3683,160,3697,3982,165
"Germany","Industry and construction","Non manual workers","From 40 to 49 years","Males",4060,4201,167,4485,4611,167,4692,4901,167,5045,5120,169
"Greece","Industry and construction","Non manual workers","From 40 to 49 years","Males",2708,2261,202,2781,2387,177,2861,2634,172,2489,2127,171
"Hungary","Industry and construction","Non manual workers","From 40 to 49 years","Males",1608,862,185,1900,1134,182,2126,1270,168,2667,1534,172
"Iceland","Industry and construction","Non manual workers","From 40 to 49 years","Males",3322,4349,180,3732,5596,169,3653,3901,179,4078,4812,173
"Ireland","Industry and construction","Non manual workers","From 40 to 49 years","Males",3592,4235,161,4453,5383,176,4491,4965,169,4650,5686,171
"Italy","Industry and construction","Non manual workers","From 40 to 49 years","Males",2807,2637,180,2901,2968,177,3106,3178,170,3204,3298,184
"Latvia","Industry and construction","Non manual workers","From 40 to 49 years","Males",863,435,178,1179,678,168,884,803,150,1556,1091,164
"Lithuania","Industry and construction","Non manual workers","From 40 to 49 years","Males",1057,521,176,1410,762,168,1544,913,161,1760,1104,165
"Luxembourg","Industry and construction","Non manual workers","From 40 to 49 years","Males",4035,4130,177,4193,4706,174,4304,5206,171,4320,5203,186
"Macedonia","Industry and construction","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,1468,569,170,1460,679,182
"Malta","Industry and construction","Non manual workers","From 40 to 49 years","Males",2000,1444,183,1041,1673,185,2483,1816,185,2742,2218,180
"Montenegro","Industry and construction","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1708,947,185
"Netherlands","Industry and construction","Non manual workers","From 40 to 49 years","Males",3311,3377,164,3352,3573,164,3719,4143,167,4086,4487,169
"Norway","Industry and construction","Non manual workers","From 40 to 49 years","Males",3618,5284,164,4316,5722,164,4685,6919,164,5230,7660,164
"Poland","Industry and construction","Non manual workers","From 40 to 49 years","Males",1636,967,187,2022,1175,176,2234,1335,169,3004,1677,184
"Portugal","Industry and construction","Non manual workers","From 40 to 49 years","Males",2141,1640,169,2301,1869,170,2343,1942,171,2377,1936,172
"Romania","Industry and construction","Non manual workers","From 40 to 49 years","Males",812,334,187,1143,570,177,1552,769,169,1649,876,185
"Serbia","Industry and construction","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1610,812,187
"Slovakia","Industry and construction","Non manual workers","From 40 to 49 years","Males",1248,542,172,1398,953,170,1937,1296,162,2201,1492,174
"Slovenia","Industry and construction","Non manual workers","From 40 to 49 years","Males",2189,1503,179,2470,1843,178,2629,2211,168,2997,2447,181
"Spain","Industry and construction","Non manual workers","From 40 to 49 years","Males",3089,2633,181,3179,2871,171,2989,2813,172,3151,2909,171
"Sweden","Industry and construction","Non manual workers","From 40 to 49 years","Males",2858,3577,172,3304,3982,172,3514,4346,174,3904,4902,174
"Switzerland","Industry and construction","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,4425,6346,176,5192,7729,177
"Turkey","Industry and construction","Non manual workers","From 40 to 49 years","Males",NA,NA,NA,1920,1104,199,2040,1261,200,2136,1277,200
"United Kingdom","Industry and construction","Non manual workers","From 40 to 49 years","Males",4330,4972,169,4784,5399,171,4071,4302,173,4005,4865,173
