"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,1754,1844,170,1733,1913,164,1965,2079,166
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,2004,2173,159,2099,2330,153,2118,2302,155
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",236,96,181,311,119,172,452,201,154,551,264,179
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,1017,716,170,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,1036,1567,177,1836,1630,173,1372,1236,167
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",641,332,170,805,490,170,972,703,172,994,633,172
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,2076,2847,134,2290,3127,127,2190,3047,118
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,657,420,167,772,530,162,1042,788,175
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,1806,2107,163,2002,2392,162,2160,2642,164
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,1527,1692,145,1462,1643,139,1721,1853,144
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,2084,2142,156,1751,1829,149,1420,1441,116
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,1972,1692,179,1531,1410,168,1359,1161,163
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",534,286,182,579,346,175,670,400,160,820,472,165
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,2105,3156,211,1715,1832,185,2219,2618,198
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",1838,2167,158,2408,2911,172,2407,2661,161,2393,2926,150
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,1559,1595,162,1656,1695,165,1705,1755,174
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,572,329,168,422,383,148,647,454,152
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",359,177,169,562,303,166,577,341,155,625,392,165
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,2041,2291,171,2102,2543,166,2206,2656,182
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,839,325,168,722,336,182
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,605,972,178,1442,1055,181,1461,1182,169
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,943,523,179
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",2067,2108,156,1742,1856,145,1815,2022,153,1909,2097,149
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,2157,2860,144,2485,3670,150,2431,3560,145
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",645,381,187,740,430,172,948,566,169,1143,638,182
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,905,735,173,951,789,167,1004,818,170
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",274,113,190,378,189,179,475,236,169,544,289,183
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,861,434,184
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",553,240,171,521,355,168,808,541,161,949,644,171
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",987,678,171,1060,791,179,1156,972,166,1324,1081,179
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",1242,1058,174,1367,1235,168,1455,1369,161,1509,1393,161
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",1930,2416,167,1800,2169,164,1889,2336,158,2003,2515,155
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,2250,3226,162,3151,4691,164
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",NA,NA,NA,799,460,199,930,575,201,837,500,199
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","From 40 to 49 years","Males",1979,2273,178,2157,2434,177,1853,1958,169,1716,2085,166
