"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,3565,3748,170,3530,3896,166,3963,4193,168
"Belgium",NA,NA,NA,3253,3526,157,3543,3933,154,3862,4198,161
"Bulgaria",525,213,182,768,293,173,1140,506,163,1359,650,179
"Croatia",NA,NA,NA,NA,NA,NA,1888,1330,168,NA,NA,NA
"Cyprus",NA,NA,NA,1841,2786,167,3532,3137,168,3272,2948,167
"Czech Rep.",1449,749,170,1972,1199,170,2106,1525,170,2403,1531,169
"Denmark",NA,NA,NA,3616,4959,155,4119,5626,154,4195,5837,153
"Estonia",NA,NA,NA,1581,1010,170,1897,1304,162,2252,1703,175
"Finland",NA,NA,NA,3049,3556,163,3381,4039,162,3560,4353,163
"France",NA,NA,NA,2966,3287,157,3111,3496,156,3469,3735,158
"Germany",NA,NA,NA,4145,4262,166,4261,4451,164,4478,4545,164
"Greece",NA,NA,NA,2492,2139,164,2439,2245,159,2258,1929,163
"Hungary",1376,737,185,1607,959,180,1944,1161,166,2344,1349,171
"Iceland",NA,NA,NA,3342,5011,174,2902,3099,170,3626,4280,169
"Ireland",3502,4128,144,4227,5109,167,4451,4922,162,4086,4996,149
"Italy",NA,NA,NA,2715,2777,163,2917,2985,163,3021,3110,175
"Latvia",NA,NA,NA,1124,646,165,939,853,148,1510,1059,157
"Lithuania",923,455,164,1182,639,159,1308,773,153,1560,978,163
"Luxembourg",NA,NA,NA,4571,5131,171,4842,5858,168,5018,6043,181
"Macedonia",NA,NA,NA,NA,NA,NA,1493,578,169,1392,647,182
"Malta",NA,NA,NA,1022,1642,168,2439,1784,168,2729,2207,162
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1562,866,179
"Netherlands",3282,3348,159,3282,3498,156,3590,4000,157,3932,4319,161
"Norway",NA,NA,NA,3864,5123,159,4018,5935,156,4427,6484,155
"Poland",1465,866,178,1758,1021,161,2060,1231,154,2785,1555,171
"Portugal",NA,NA,NA,2578,2095,164,2507,2078,164,2356,1919,166
"Romania",749,308,187,999,499,176,1263,626,167,1335,709,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1469,741,183
"Slovakia",1228,534,172,1261,860,168,1793,1200,160,2077,1408,172
"Slovenia",2148,1475,175,2462,1838,179,2517,2117,168,2788,2276,179
"Spain",2826,2408,176,2810,2538,164,2649,2492,166,2755,2543,163
"Sweden",2891,3619,170,3048,3673,165,3235,4002,167,3657,4592,169
"Switzerland",NA,NA,NA,NA,NA,NA,4333,6215,166,5193,7731,169
"Turkey",NA,NA,NA,1866,1073,197,2009,1241,197,2162,1293,198
"United Kingdom",4322,4962,162,4713,5319,163,4055,4285,163,3852,4680,163
