"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",248,100,186,339,129,171,429,190,162,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,1019,718,166,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,1362,1210,170,NA,NA,NA
"Czech Rep.",677,350,173,823,500,180,1010,731,178,1038,661,171
"Denmark",NA,NA,NA,2305,3162,153,2511,3429,139,2453,3413,136
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,1520,1772,163,1755,2097,163,1966,2405,163
"France",NA,NA,NA,1211,1342,120,1421,1596,150,1828,1969,149
"Germany",NA,NA,NA,2085,2144,159,2048,2140,157,2200,2232,149
"Greece",NA,NA,NA,1522,1306,174,NA,NA,NA,1498,1280,165
"Hungary",548,294,184,600,358,178,661,395,158,903,519,168
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1870,2205,157,2013,2433,164,2120,2344,159,2101,2569,120
"Italy",NA,NA,NA,NA,NA,NA,1674,1713,166,1629,1676,176
"Latvia",NA,NA,NA,511,294,168,650,590,159,778,546,148
"Lithuania",312,153,163,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,2166,2620,170,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,1017,394,175,699,325,184
"Malta",NA,NA,NA,NA,NA,NA,1607,1175,177,1589,1285,167
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1552,1583,148,1606,1711,154,1743,1942,146,2061,2263,160
"Norway",NA,NA,NA,2546,3376,163,2596,3834,157,2935,4298,161
"Poland",684,404,189,752,437,170,883,528,167,1222,682,183
"Portugal",NA,NA,NA,808,656,172,821,681,172,887,723,168
"Romania",NA,NA,187,348,174,178,418,207,153,481,256,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",474,206,172,546,372,165,804,538,160,961,651,171
"Slovenia",NA,NA,NA,1261,941,178,1290,1085,165,1369,1118,180
"Spain",1504,1282,178,1486,1342,160,1478,1391,157,1585,1463,160
"Sweden",NA,NA,NA,1773,2137,170,1948,2410,168,2324,2918,173
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,3252,4841,174
"Turkey",NA,NA,NA,875,503,206,NA,NA,NA,979,586,208
"United Kingdom",1895,2176,171,1957,2209,170,1918,2027,165,1791,2176,163
