"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",NA,NA,NA,2326,2446,181,2308,2547,174,2673,2828,182
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",NA,NA,NA,2220,2407,167,2423,2690,161,2625,2853,168
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",411,166,183,552,210,176,760,337,165,843,404,181
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,1170,824,171,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",NA,NA,NA,1266,1917,175,2220,1972,180,1783,1606,173
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",864,447,175,1100,669,176,1163,842,175,1325,844,174
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",NA,NA,NA,2510,3443,143,2875,3926,139,2931,4078,141
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",NA,NA,NA,1018,650,177,1168,803,171,1484,1122,184
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",NA,NA,NA,2230,2601,169,2477,2959,168,2639,3228,168
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",NA,NA,NA,1896,2101,156,1837,2065,155,2105,2266,156
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",NA,NA,NA,2663,2738,170,2680,2799,167,2895,2938,168
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",NA,NA,NA,2274,1952,184,2189,2014,176,1901,1624,173
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",781,419,187,907,542,184,1071,640,168,1136,653,175
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",NA,NA,NA,2499,3748,201,2312,2469,196,2628,3102,193
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 40 to 49 years","Males",2384,2810,172,2837,3429,180,3092,3419,170,2936,3590,161
