"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",2142,2137,178,2138,2248,175,2178,2404,170,2592,2743,176
"Belgium","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",NA,NA,NA,2051,2223,164,2314,2568,159,2605,2831,165
"Bulgaria","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",370,150,180,439,167,172,716,318,162,795,381,179
"Croatia","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,1343,946,170,NA,NA,NA
"Cyprus","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",1977,1812,173,1491,2257,174,2512,2231,176,2024,1823,174
"Czech Rep.","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",884,457,174,1136,690,173,1217,881,172,1310,834,174
"Denmark","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",2015,2595,123,2601,3568,148,3042,4155,147,3007,4184,143
"Estonia","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",697,365,183,1175,751,177,1163,799,168,1526,1154,181
"Finland","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",1829,2170,167,2041,2380,166,2322,2774,167,2516,3078,168
"France","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",1930,1936,152,1800,1995,153,1928,2167,155,2171,2338,154
"Germany","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",2321,2402,168,2371,2437,166,2486,2597,165,2690,2730,165
"Greece","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",2013,1680,175,2615,2244,179,2362,2174,171,1848,1579,175
"Hungary","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",740,396,183,833,497,179,1012,604,164,1036,596,170
"Iceland","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",2652,3473,192,2900,4348,NA,2570,2745,NA,2791,3294,186
"Ireland","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",2397,2827,179,2532,3061,170,3169,3504,173,2920,3571,150
"Italy","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",1900,1785,181,2086,2135,176,1648,1686,162,1737,1788,170
"Latvia","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",544,274,176,711,409,170,635,577,158,1010,708,170
"Lithuania","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",529,260,170,714,386,168,NA,NA,NA,780,489,167
"Luxembourg","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",2478,2536,174,2413,2709,164,2330,2818,158,2728,3286,181
"Macedonia","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,1015,393,160,840,391,178
"Malta","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",1622,1172,187,767,1233,NA,1926,1409,185,1920,1553,170
"Montenegro","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1123,623,180
"Netherlands","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",2256,2301,158,2134,2275,157,2349,2617,157,2312,2539,159
"Norway","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",2340,3418,163,2765,3666,165,2866,4232,163,2949,4320,156
"Poland","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",877,518,186,959,557,176,1178,704,169,1439,804,184
"Portugal","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",1040,796,170,1179,958,173,1268,1052,173,1395,1136,173
"Romania","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",463,190,186,592,295,177,819,406,169,821,436,184
"Serbia","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1034,522,184
"Slovakia","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",762,331,170,692,472,171,1059,709,162,1217,826,175
"Slovenia","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",1349,927,169,1340,1000,179,1457,1226,168,1618,1321,180
"Spain","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",1754,1495,183,1872,1691,172,2050,1928,171,1972,1820,170
"Sweden","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",1781,2229,174,2116,2549,175,2402,2971,175,2729,3427,177
"Switzerland","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,3160,4533,180,3307,4923,168
"Turkey","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",NA,NA,NA,1330,765,200,NA,NA,NA,1332,797,203
"United Kingdom","Services of the business economy","Craft and related trades workers","From 40 to 49 years","Males",2788,3201,185,2906,3279,183,2608,2756,182,2570,3123,182
