"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3164,3157,175,3497,3677,173,3469,3829,169,3949,4178,170
"Belgium",3172,3176,170,3259,3532,163,3524,3912,156,3850,4185,164
"Bulgaria",514,208,181,770,294,172,1131,502,163,1335,639,179
"Croatia",NA,NA,NA,NA,NA,NA,1853,1305,170,NA,NA,NA
"Cyprus",2524,2313,171,1870,2830,169,3544,3148,172,3371,3036,171
"Czech Rep.",1510,781,171,2118,1288,171,2258,1634,170,2555,1627,170
"Denmark",3615,4655,159,3807,5221,156,4385,5988,156,4516,6283,154
"Estonia",1289,675,180,1678,1072,176,2060,1415,166,2470,1868,180
"Finland",2549,3024,163,3024,3526,162,3351,4003,162,3556,4349,162
"France",3002,3012,149,2842,3150,157,3249,3651,159,3614,3892,160
"Germany",3616,3741,167,4110,4225,167,4205,4393,165,4345,4409,164
"Greece",2151,1795,170,2648,2273,174,2594,2387,169,2342,2001,165
"Hungary",1403,752,183,1595,952,179,2062,1232,165,2548,1466,170
"Iceland",2697,3531,169,3713,5567,180,3235,3456,171,4242,5006,174
"Ireland",3634,4284,157,4100,4956,172,4528,5007,165,4038,4937,150
"Italy",2617,2458,174,2788,2852,171,2885,2952,167,3014,3102,177
"Latvia",983,496,176,1169,671,168,1039,945,151,1599,1121,158
"Lithuania",960,473,170,1166,630,166,1311,775,162,1601,1004,171
"Luxembourg",4223,4322,175,4679,5252,172,4999,6047,168,5114,6159,181
"Macedonia",NA,NA,NA,NA,NA,NA,1592,616,169,1430,665,181
"Malta",2162,1561,175,1080,1735,172,2591,1895,170,2858,2311,160
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1588,881,179
"Netherlands",3384,3451,163,3520,3751,159,3725,4150,159,4087,4489,164
"Norway",3341,4880,162,3921,5199,162,4157,6139,160,4559,6677,158
"Poland",1434,848,184,1787,1038,171,2230,1332,164,3009,1680,179
"Portugal",2103,1610,168,2648,2151,166,2605,2159,166,2399,1954,167
"Romania",718,296,185,893,446,176,1229,609,167,1273,676,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1481,747,185
"Slovakia",1346,585,170,1344,916,169,1885,1261,163,2182,1480,174
"Slovenia",1923,1321,169,2343,1749,179,2361,1986,167,2686,2193,178
"Spain",2856,2434,180,2720,2457,169,2581,2428,171,2730,2520,167
"Sweden",2910,3642,169,3336,4020,168,3518,4352,170,3972,4988,171
"Switzerland",NA,NA,NA,NA,NA,NA,4553,6530,171,5434,8090,172
"Turkey",NA,NA,NA,1829,1052,197,1882,1163,197,2015,1205,198
"United Kingdom",4798,5510,166,5174,5839,166,4363,4611,165,4077,4954,165
