"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,1299,915,169,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",NA,NA,NA,858,522,NA,1045,756,181,NA,NA,NA
"Denmark",2309,2973,156,2207,3027,148,2346,3204,128,2301,3202,125
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,1605,1872,163,1677,2004,162,2078,2542,164
"France",NA,NA,NA,NA,NA,NA,NA,NA,153,1904,2050,151
"Germany",1876,1941,157,1937,1992,158,1945,2032,160,2174,2206,156
"Greece",NA,NA,181,1469,1261,188,NA,NA,NA,1173,1002,157
"Hungary",490,262,181,628,375,178,631,377,159,971,559,172
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",NA,NA,NA,NA,NA,NA,1444,1477,163,1642,1690,164
"Latvia",212,107,155,497,286,165,NA,NA,NA,NA,NA,NA
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1875,1912,147,1762,1878,151,1948,2170,142,2238,2458,163
"Norway",NA,NA,NA,NA,NA,NA,2512,3710,155,2800,4101,158
"Poland",664,393,193,NA,NA,NA,818,489,169,1245,695,184
"Portugal",NA,NA,NA,799,650,173,862,715,173,884,720,174
"Romania",278,114,190,375,187,176,536,266,168,564,300,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,NA,NA,NA,747,500,162,852,578,176
"Slovenia",NA,NA,NA,1287,961,178,NA,NA,NA,1380,1127,182
"Spain",1270,1082,176,1492,1348,158,1425,1341,154,1709,1577,163
"Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,3289,4896,177
"Turkey",NA,NA,NA,733,422,197,NA,NA,NA,786,470,201
"United Kingdom",NA,NA,NA,2120,2392,171,NA,NA,NA,1571,1908,156
