"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,1299,915,169,NA,NA,NA
"Cyprus","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,858,522,NA,1045,756,181,NA,NA,NA
"Denmark","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",2309,2973,156,2207,3027,148,2346,3204,128,2301,3202,125
"Estonia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,1605,1872,163,1677,2004,162,2078,2542,164
"France","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,153,1904,2050,151
"Germany","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",1876,1941,157,1937,1992,158,1945,2032,160,2174,2206,156
"Greece","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,181,1469,1261,188,NA,NA,NA,1173,1002,157
"Hungary","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",490,262,181,628,375,178,631,377,159,971,559,172
"Iceland","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,1444,1477,163,1642,1690,164
"Latvia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",212,107,155,497,286,165,NA,NA,NA,NA,NA,NA
"Lithuania","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",1875,1912,147,1762,1878,151,1948,2170,142,2238,2458,163
"Norway","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,2512,3710,155,2800,4101,158
"Poland","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",664,393,193,NA,NA,NA,818,489,169,1245,695,184
"Portugal","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,799,650,173,862,715,173,884,720,174
"Romania","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",278,114,190,375,187,176,536,266,168,564,300,184
"Serbia","Services of the business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
