"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3375,3368,178,3601,3786,173,3557,3925,172,3752,3970,173
"Belgium",2948,2952,173,3012,3265,164,3274,3635,159,3690,4011,169
"Bulgaria",543,220,184,793,302,176,1239,550,167,1304,624,181
"Croatia",NA,NA,NA,NA,NA,NA,1885,1328,171,NA,NA,NA
"Cyprus",2692,2467,172,1840,2784,167,3517,3124,170,3062,2758,171
"Czech Rep.",1275,659,172,1800,1094,171,2047,1482,171,2281,1453,172
"Denmark",3446,4438,161,3712,5092,159,4218,5761,160,4321,6012,159
"Estonia",1088,570,182,1601,1023,177,1980,1361,168,2485,1879,181
"Finland",2478,2939,165,2812,3280,164,3246,3878,163,3384,4138,164
"France",2337,2345,147,2603,2885,156,2630,2955,155,2905,3128,154
"Germany",3688,3816,168,4092,4207,168,4408,4604,169,4399,4464,167
"Greece",2249,1877,168,3090,2653,175,2729,2512,169,2710,2315,170
"Hungary",1185,635,182,1341,801,178,1766,1055,166,1836,1056,170
"Iceland",2669,3494,164,3965,5945,183,3214,3433,171,4002,4723,173
"Ireland",3541,4175,159,3872,4681,178,3757,4154,164,3425,4188,144
"Italy",2955,2776,177,3106,3178,172,3205,3280,167,3317,3414,179
"Latvia",990,499,177,1160,666,169,1032,938,154,1663,1166,163
"Lithuania",753,371,158,994,537,157,1000,592,163,1302,816,163
"Luxembourg",4280,4380,174,4406,4946,173,4181,5058,168,4158,5007,182
"Macedonia",NA,NA,NA,NA,NA,NA,1528,592,169,1294,602,182
"Malta",2321,1676,188,1170,1880,181,2465,1802,174,2842,2299,180
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1548,859,180
"Netherlands",3212,3275,163,3398,3622,160,3556,3962,158,3826,4201,165
"Norway",3287,4801,165,3939,5222,164,4283,6326,163,4626,6775,161
"Poland",1357,802,184,1470,854,171,1890,1129,164,2434,1359,179
"Portugal",2213,1694,166,2952,2398,167,2562,2124,165,2575,2098,167
"Romania",728,299,183,787,393,174,1110,550,167,1105,587,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1534,774,185
"Slovakia",1357,590,171,1146,781,168,1684,1126,163,1822,1236,175
"Slovenia",2114,1452,173,2292,1711,177,2299,1934,167,2844,2322,180
"Spain",3087,2631,179,2811,2538,169,2651,2494,171,2899,2676,169
"Sweden",2615,3272,171,3277,3949,170,3368,4166,172,3734,4688,172
"Switzerland",NA,NA,NA,NA,NA,NA,4753,6816,173,5187,7722,176
"Turkey",NA,NA,NA,1804,1038,199,1935,1196,196,2242,1341,199
"United Kingdom",3882,4457,166,4342,4901,168,3973,4198,168,3467,4212,168
