"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2470,2465,173,2319,2438,166,2225,2456,162,2396,2536,161
"Belgium",2382,2385,164,2287,2479,157,2357,2616,143,2437,2649,156
"Bulgaria",231,94,175,311,118,163,408,181,160,482,231,180
"Croatia",NA,NA,NA,NA,NA,NA,1229,865,171,NA,NA,NA
"Cyprus",1640,1503,NA,1128,1707,172,2162,1920,177,1644,1481,179
"Czech Rep.",680,351,180,775,471,172,765,553,165,847,540,164
"Denmark",1991,2565,135,2186,2998,142,2800,3823,146,2676,3724,141
"Estonia",534,280,NA,650,415,181,751,516,172,900,680,175
"Finland",1743,2067,160,2027,2364,160,2137,2553,160,2164,2647,161
"France",1964,1971,149,1774,1967,157,1926,2164,147,2181,2349,149
"Germany",2366,2448,155,2575,2648,153,2325,2428,152,2360,2395,152
"Greece",1381,1153,169,1843,1582,181,2014,1853,168,1634,1396,162
"Hungary",605,324,184,671,400,176,873,521,164,1059,609,174
"Iceland",1914,2506,182,2580,3868,190,2115,2259,178,2486,2935,181
"Ireland",2015,2376,156,2460,2974,165,2677,2960,164,2402,2937,147
"Italy",1997,1876,180,2286,2339,174,2312,2366,178,2106,2167,182
"Latvia",417,211,171,519,298,167,419,381,143,704,494,156
"Lithuania",517,255,179,633,342,175,697,412,168,805,505,178
"Luxembourg",2124,2173,174,2530,2840,170,NA,NA,165,2760,3324,174
"Macedonia",NA,NA,NA,NA,NA,NA,1036,401,172,815,379,182
"Malta",1211,875,156,NA,NA,NA,1479,1081,162,1319,1066,146
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1019,565,180
"Netherlands",2516,2566,155,2512,2677,156,2461,2742,153,2469,2711,152
"Norway",2127,3106,150,2625,3481,154,2571,3797,150,2871,4205,148
"Poland",583,344,188,571,332,168,763,456,164,1007,562,179
"Portugal",1030,788,172,1278,1038,172,1338,1110,171,1208,984,169
"Romania",314,129,188,399,199,179,500,248,169,511,272,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,949,479,182
"Slovakia",736,320,176,562,383,173,812,543,164,955,647,168
"Slovenia",1174,806,174,1363,1017,189,1327,1117,167,1439,1175,179
"Spain",2073,1767,183,1860,1680,170,1799,1693,173,1880,1735,168
"Sweden",1690,2115,162,2055,2477,164,2202,2724,166,2539,3187,167
"Switzerland",NA,NA,NA,NA,NA,NA,2864,4108,163,3463,5156,158
"Turkey",NA,NA,NA,983,565,197,984,608,198,855,511,195
"United Kingdom",1879,2158,152,1736,1960,154,2018,2132,172,1847,2244,163
