"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",319,129,185,320,122,171,365,162,150,1178,564,182
"Croatia","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,1085,764,169,NA,NA,NA
"Cyprus","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",760,393,177,816,496,180,1022,739,181,985,627,171
"Denmark","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",2215,2852,141,2174,2982,138,2344,3201,129,2132,2967,119
"Estonia","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",485,254,166,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,1468,1712,163,1708,2041,163,1912,2339,165
"France","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",2461,2469,150,NA,NA,NA,1248,1402,123,1880,2025,148
"Germany","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",1993,2062,159,2034,2091,143,2043,2134,153,2301,2335,158
"Greece","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",1053,879,163,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",589,316,182,587,351,175,677,404,166,923,531,170
"Iceland","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,2265,2504,161,NA,NA,NA
"Italy","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",2109,1981,NA,NA,NA,NA,1753,1794,172,1355,1395,171
"Latvia","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",351,177,NA,547,315,166,398,362,133,NA,NA,NA
"Lithuania","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,1003,389,170,NA,NA,NA
"Malta","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1507,1219,158
"Montenegro","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",1566,1597,152,1457,1552,147,1759,1960,149,1746,1917,147
"Norway","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,2444,3240,NA,2412,3562,153,2838,4157,159
"Poland","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",747,441,189,811,471,176,931,557,169,1133,633,181
"Portugal","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,907,737,173,851,705,173,1011,823,170
"Romania","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",262,108,190,370,185,175,448,222,156,503,268,183
"Serbia","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,598,408,172,739,494,165,948,643,173
"Slovenia","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,1163,868,178,1170,984,154,1338,1093,170
"Spain","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,183,1528,1380,166,1584,1490,158,1780,1644,157
"Sweden","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",1668,2087,169,1848,2226,172,2195,2715,175,2352,2953,175
"Switzerland","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,3333,4962,175
"Turkey","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",NA,NA,NA,700,403,193,NA,NA,NA,783,469,196
"United Kingdom","Business economy","Skilled agricultural, forestry and fishery workers","From 50 to 59 years","Males",1710,1964,166,1783,2012,167,1754,1854,178,1495,1816,166
