"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Skilled manual workers","From 50 to 59 years","Males",2342,2337,183,2323,2442,179,2387,2635,172,2792,2954,181
"Belgium","Business economy","Skilled manual workers","From 50 to 59 years","Males",NA,NA,NA,2226,2413,164,2415,2681,157,2667,2899,164
"Bulgaria","Business economy","Skilled manual workers","From 50 to 59 years","Males",409,166,183,544,208,176,752,334,166,835,400,182
"Croatia","Business economy","Skilled manual workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,1243,875,171,NA,NA,NA
"Cyprus","Business economy","Skilled manual workers","From 50 to 59 years","Males",1707,1564,176,1276,1931,175,2375,2109,178,1897,1709,172
"Czech Rep.","Business economy","Skilled manual workers","From 50 to 59 years","Males",863,446,174,1073,652,175,1135,821,174,1293,823,174
"Denmark","Business economy","Skilled manual workers","From 50 to 59 years","Males",2335,3007,144,2464,3380,143,2829,3864,139,2860,3979,141
"Estonia","Business economy","Skilled manual workers","From 50 to 59 years","Males",702,368,185,940,601,177,1099,755,171,1379,1043,184
"Finland","Business economy","Skilled manual workers","From 50 to 59 years","Males",1900,2253,167,2231,2602,168,2466,2946,167,2633,3220,167
"France","Business economy","Skilled manual workers","From 50 to 59 years","Males",1829,1835,146,1956,2168,153,1843,2072,152,2123,2286,153
"Germany","Business economy","Skilled manual workers","From 50 to 59 years","Males",2458,2544,168,2593,2666,165,2584,2699,163,2878,2921,167
"Greece","Business economy","Skilled manual workers","From 50 to 59 years","Males",1947,1625,183,2474,2123,182,2499,2300,175,2163,1848,170
"Hungary","Business economy","Skilled manual workers","From 50 to 59 years","Males",814,436,186,928,554,183,1076,642,168,1155,665,175
"Iceland","Business economy","Skilled manual workers","From 50 to 59 years","Males",2257,2955,203,2623,3932,206,2225,2377,193,2674,3155,196
"Ireland","Business economy","Skilled manual workers","From 50 to 59 years","Males",2538,2992,176,2911,3519,182,3206,3545,167,2915,3565,163
"Italy","Business economy","Skilled manual workers","From 50 to 59 years","Males",1892,1777,182,2138,2187,180,2133,2183,171,2228,2293,184
"Latvia","Business economy","Skilled manual workers","From 50 to 59 years","Males",547,276,179,696,400,173,597,542,157,954,669,163
"Lithuania","Business economy","Skilled manual workers","From 50 to 59 years","Males",622,306,177,852,461,172,829,490,164,955,599,180
"Luxembourg","Business economy","Skilled manual workers","From 50 to 59 years","Males",2594,2655,183,2573,2888,174,2524,3053,171,2823,3400,187
"Macedonia","Business economy","Skilled manual workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,1006,390,168,885,412,181
"Malta","Business economy","Skilled manual workers","From 50 to 59 years","Males",1687,1218,195,757,1217,182,1853,1355,188,1899,1536,189
"Montenegro","Business economy","Skilled manual workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1327,736,182
"Netherlands","Business economy","Skilled manual workers","From 50 to 59 years","Males",2299,2345,162,2148,2289,161,2499,2784,166,2478,2722,161
"Norway","Business economy","Skilled manual workers","From 50 to 59 years","Males",2344,3424,164,2811,3727,165,2927,4322,162,3228,4728,161
"Poland","Business economy","Skilled manual workers","From 50 to 59 years","Males",956,566,188,1086,631,179,1208,722,172,1532,856,187
"Portugal","Business economy","Skilled manual workers","From 50 to 59 years","Males",1095,839,173,1165,947,175,1175,974,174,1210,985,174
"Romania","Business economy","Skilled manual workers","From 50 to 59 years","Males",460,189,191,620,309,180,850,421,171,904,480,187
"Serbia","Business economy","Skilled manual workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1125,567,187
"Slovakia","Business economy","Skilled manual workers","From 50 to 59 years","Males",768,334,172,727,495,173,1036,693,166,1223,829,174
"Slovenia","Business economy","Skilled manual workers","From 50 to 59 years","Males",1204,827,167,1296,968,182,1378,1159,166,1611,1315,180
"Spain","Business economy","Skilled manual workers","From 50 to 59 years","Males",1926,1642,184,2001,1807,172,2060,1938,171,2216,2045,171
"Sweden","Business economy","Skilled manual workers","From 50 to 59 years","Males",1789,2239,171,2123,2558,171,2349,2905,172,2741,3442,174
"Switzerland","Business economy","Skilled manual workers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,3190,4576,176,3669,5463,176
"Turkey","Business economy","Skilled manual workers","From 50 to 59 years","Males",NA,NA,NA,1106,636,200,1326,820,196,896,536,195
"United Kingdom","Business economy","Skilled manual workers","From 50 to 59 years","Males",2472,2839,190,2686,3031,187,2509,2651,186,2488,3023,187
