"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,1841,1936,166,1904,2101,170,2325,2460,179
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,1538,1667,146,1963,2179,150,2056,2234,148
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",276,112,183,409,156,176,497,221,161,595,285,178
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,1426,1004,171,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,1292,1955,175,2451,2177,178,1625,1464,155
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",778,402,176,942,573,176,1046,757,180,1121,714,177
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,2515,3450,162,2851,3893,155,2804,3902,150
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,739,472,177,867,595,170,886,670,176
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,1884,2197,169,1680,2007,164,1674,2047,162
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,1811,2007,149,1494,1679,142,1598,1721,141
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,2086,2144,163,1655,1729,139,1546,1568,123
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,2029,1867,170,1830,1563,170
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",618,331,189,798,476,181,887,530,173,902,519,171
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",1590,1875,163,1871,2262,153,2242,2478,148,2118,2589,121
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,1968,2014,160,2143,2193,166,1650,1698,162
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",NA,NA,NA,534,307,178,472,429,167,779,546,178
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Males",498,245,185,691,373,174,NA,NA,NA,733,460,171
