"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,2905,3055,153,2899,3199,146,3218,3405,151
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,2809,3045,127,3386,3759,137,3085,3354,134
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",396,161,182,563,215,171,846,375,161,1040,498,176
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,1911,1346,161,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,2200,3329,160,4468,3969,150,3526,3176,149
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",986,510,170,1285,781,168,1536,1111,170,1595,1016,166
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,2979,4086,153,3506,4788,152,3413,4749,148
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,906,579,157,1270,873,148,1341,1014,157
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,2750,3207,161,3045,3638,157,3148,3850,159
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,2678,2968,141,2494,2802,139,2734,2944,141
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,3519,3618,159,3559,3718,155,3688,3743,150
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,2951,2533,165,2625,2416,153,2357,2014,151
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",937,502,187,1159,692,177,1287,769,165,1420,817,168
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,2879,4316,177,2355,2515,174,2762,3260,168
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",3136,3698,121,4424,5347,139,4310,4765,140,3930,4805,129
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,2663,2725,128,3154,3227,141,2968,3055,142
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,770,443,160,577,524,147,859,603,152
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",596,293,159,798,431,151,918,543,137,983,617,140
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,4313,4842,163,4715,5703,160,5196,6257,175
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,1431,554,168,1263,587,183
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,776,1247,170,2019,1476,164,2124,1718,152
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1512,839,180
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",3262,3327,146,2808,2993,142,3233,3602,138,3267,3588,138
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,3202,4246,149,3094,4570,141,3355,4914,139
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",1172,693,161,1296,753,147,1418,848,140,1768,987,149
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,2777,2256,156,2684,2225,147,2374,1934,160
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",697,287,188,1006,502,178,975,483,166,1019,541,180
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1236,624,182
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",806,350,175,720,491,163,1140,763,152,1356,920,163
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",2737,1880,174,2424,1809,177,2685,2259,165,2690,2196,179
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",2339,1993,157,2604,2352,149,2712,2552,149,2681,2475,148
"Sweden","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,2428,2926,160,2536,3137,158,2893,3633,161
"Switzerland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,NA,NA,NA,3869,5549,140,4557,6784,148
"Turkey","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",NA,NA,NA,1967,1131,181,2017,1246,169,2304,1378,178
"United Kingdom","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","From 50 to 59 years","Males",3179,3650,150,3482,3930,149,3314,3502,146,3063,3721,149
