"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3157,3150,167,3332,3503,165,3203,3535,165,3302,3494,171
"Belgium",3077,3081,174,3105,3366,167,3042,3377,157,3242,3524,168
"Bulgaria",348,141,183,505,192,174,641,284,163,800,383,179
"Croatia",NA,NA,NA,NA,NA,NA,1439,1013,168,NA,NA,NA
"Cyprus",1695,1553,166,NA,NA,NA,NA,NA,172,1983,1786,169
"Czech Rep.",900,465,170,1097,667,173,1211,877,169,1497,954,167
"Denmark",2683,3455,161,2841,3896,157,3078,4203,150,3135,4362,151
"Estonia",701,367,179,893,570,172,1157,795,170,1562,1181,183
"Finland",1866,2214,159,2487,2900,165,2325,2778,156,2581,3156,166
"France",1881,1887,143,2069,2293,150,1939,2178,150,2188,2356,149
"Germany",3304,3419,158,3659,3762,155,2985,3118,153,3378,3428,163
"Greece",2085,1740,172,2301,1975,178,2631,2421,173,2318,1980,170
"Hungary",867,464,184,928,554,180,1073,641,165,1367,787,171
"Iceland",NA,NA,NA,2684,4025,187,2505,2676,176,2842,3354,169
"Ireland",2726,3213,162,3363,4066,166,3561,3937,162,4347,5315,170
"Italy",2640,2480,181,2870,2936,177,2639,2701,169,2823,2906,181
"Latvia",474,239,165,640,368,168,710,646,158,1108,777,173
"Lithuania",724,357,169,905,489,171,952,563,165,1049,658,183
"Luxembourg",3766,3854,171,3468,3893,170,NA,NA,NA,2862,3447,166
"Macedonia",NA,NA,NA,NA,NA,NA,1176,456,169,943,439,182
"Malta",1938,1400,199,854,1373,187,1764,1290,182,1752,1417,192
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1374,762,184
"Netherlands",2565,2616,161,2486,2649,160,2893,3224,162,2957,3247,165
"Norway",2444,3569,163,2824,3744,163,3077,4545,163,3405,4987,163
"Poland",972,575,186,1062,617,174,1235,738,167,1559,870,185
"Portugal",1370,1049,169,1363,1108,171,1506,1248,171,1570,1279,173
"Romania",460,189,186,678,338,176,880,436,169,911,484,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1172,591,185
"Slovakia",719,313,174,783,534,169,1176,787,163,1262,856,176
"Slovenia",1234,848,166,1269,947,178,1495,1258,165,1715,1400,178
"Spain",2185,1862,183,2298,2075,170,2383,2242,171,2614,2413,170
"Sweden",1781,2228,171,2081,2508,168,2278,2817,172,2738,3438,173
"Switzerland",NA,NA,NA,NA,NA,NA,3766,5400,174,3765,5605,174
"Turkey",NA,NA,NA,1884,1083,198,NA,NA,NA,1485,888,197
"United Kingdom",2735,3141,168,2674,3017,168,2926,3092,167,2582,3137,170
