"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2013,2009,174,1940,2040,173,1830,2020,164,2256,2388,171
"Belgium",2334,2337,175,2046,2218,164,2258,2507,155,2466,2681,165
"Bulgaria",251,102,182,335,128,174,472,210,160,536,256,181
"Croatia",NA,NA,NA,NA,NA,NA,1143,805,170,NA,NA,NA
"Cyprus",1370,1255,171,1071,1621,176,2030,1803,171,1792,1614,167
"Czech Rep.",638,330,170,801,487,172,873,632,173,992,632,173
"Denmark",2321,2989,147,2358,3234,142,2547,3479,135,2789,3880,142
"Estonia",516,270,185,657,420,173,820,564,170,1116,844,183
"Finland",1763,2090,166,2104,2454,168,2295,2741,167,2512,3072,169
"France",1602,1608,141,1745,1933,151,1620,1821,150,1902,2048,149
"Germany",2196,2272,157,2262,2326,155,2238,2338,161,2154,2186,147
"Greece",1434,1197,177,1970,1691,181,1911,1759,170,1551,1325,169
"Hungary",546,293,181,569,340,174,665,397,157,805,463,161
"Iceland",NA,NA,NA,1737,2605,176,1692,1807,189,2331,2751,215
"Ireland",2178,2568,166,2809,3396,180,2386,2638,167,3093,3782,168
"Italy",1951,1833,182,1833,1875,173,1891,1935,168,2077,2138,176
"Latvia",447,226,179,564,324,169,405,368,149,747,524,165
"Lithuania",398,196,175,589,318,171,630,372,167,707,444,170
"Luxembourg",2615,2677,177,2264,2541,175,2428,2937,171,2368,2852,186
"Macedonia",NA,NA,NA,NA,NA,NA,934,362,172,795,370,182
"Malta",1341,968,184,601,966,186,1366,999,180,1454,1176,175
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,917,509,180
"Netherlands",2101,2143,157,1876,1999,148,2009,2238,154,2009,2207,155
"Norway",2692,3932,162,2532,3357,159,2939,4340,165,2961,4336,162
"Poland",631,373,186,750,436,173,961,574,171,1146,640,185
"Portugal",705,540,170,769,625,173,884,732,174,983,801,174
"Romania",277,114,192,382,191,178,493,244,170,545,289,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,933,470,185
"Slovakia",552,240,168,547,373,172,796,533,160,927,629,172
"Slovenia",930,639,NA,948,707,179,1140,959,163,1364,1114,178
"Spain",1355,1155,182,1536,1388,171,1690,1590,168,1793,1655,166
"Sweden",1894,2370,167,1698,2046,162,2140,2647,170,2413,3030,169
"Switzerland",NA,NA,NA,NA,NA,NA,2626,3766,177,3508,5222,176
"Turkey",NA,NA,NA,749,431,197,NA,NA,NA,814,487,200
"United Kingdom",2267,2603,188,2433,2746,187,2184,2308,187,2099,2550,185
