"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",6303,6290,169,5675,5967,170,4909,5418,166,5335,5645,178
"Belgium",4144,4149,170,4662,5053,169,5033,5587,161,5803,6307,169
"Bulgaria",667,270,179,881,336,174,1262,560,161,1564,749,177
"Croatia",NA,NA,NA,NA,NA,NA,2452,1727,169,NA,NA,NA
"Cyprus",3881,3557,167,2049,3100,169,3996,3549,165,3707,3339,166
"Czech Rep.",1499,775,167,1872,1139,168,2161,1564,168,2545,1621,168
"Denmark",3851,4959,161,4362,5983,161,5192,7091,161,5247,7301,161
"Estonia",1100,576,180,1423,909,171,1762,1211,167,2291,1732,183
"Finland",2956,3506,164,3347,3904,163,3769,4502,163,4055,4959,167
"France",4229,4243,148,4678,5185,184,4557,5121,170,5132,5527,178
"Germany",4859,5027,163,5303,5452,161,5545,5792,161,6033,6123,166
"Greece",4177,3486,191,4179,3587,181,4035,3714,169,3563,3044,167
"Hungary",1688,905,183,2147,1282,181,2726,1628,165,2729,1570,171
"Iceland",3578,4685,NA,3953,5926,164,3681,3932,177,4325,5104,174
"Ireland",4314,5086,164,5022,6071,174,5529,6113,166,5054,6180,170
"Italy",6247,5867,164,3797,3885,173,4043,4137,168,4399,4528,181
"Latvia",846,427,174,1144,657,164,915,831,153,1451,1017,158
"Lithuania",986,486,167,1161,628,162,1259,744,161,1405,881,163
"Luxembourg",4535,4641,175,4926,5529,172,5553,6718,168,6772,8156,180
"Macedonia",NA,NA,NA,NA,NA,NA,1762,682,169,1654,769,181
"Malta",1887,1362,156,NA,NA,NA,2957,2162,186,2646,2140,176
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,2265,1256,178
"Netherlands",3817,3893,160,3742,3988,160,4390,4891,165,4484,4925,170
"Norway",4030,5886,164,4786,6345,161,5389,7959,163,5935,8693,163
"Poland",1697,1003,186,1860,1081,171,2169,1296,165,2803,1565,182
"Portugal",2928,2242,149,3297,2679,167,3703,3070,163,3578,2915,164
"Romania",812,334,188,1049,524,174,1524,755,163,1623,862,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2051,1035,186
"Slovakia",1210,526,175,1191,812,169,1804,1207,159,2183,1480,174
"Slovenia",3270,2246,174,3421,2554,176,2852,2399,168,3399,2776,179
"Spain",4551,3879,178,4126,3726,169,3900,3670,168,4231,3905,170
"Sweden",3155,3948,170,3506,4224,170,3799,4699,172,4316,5419,174
"Switzerland",NA,NA,NA,NA,NA,NA,5365,7694,174,5843,8699,174
"Turkey",NA,NA,NA,2169,1247,189,3692,2282,188,3032,1813,166
"United Kingdom",4041,4640,166,4324,4880,168,4022,4250,169,4025,4890,170
