"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",NA,NA,NA,NA,NA,NA,378,168,155,417,199,177
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",NA,NA,NA,829,504,187,995,720,171,959,611,173
"Denmark",2101,2705,131,2257,3096,133,2726,3723,147,2630,3659,138
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,1443,1683,160,1850,2210,165,1751,2141,162
"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",2046,2117,158,2420,2488,145,2622,2739,156,2495,2532,149
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",640,343,179,615,367,181,684,409,167,937,539,172
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",NA,NA,182,NA,NA,NA,1828,1871,173,NA,NA,NA
"Latvia",NA,NA,173,466,268,168,340,309,121,821,576,177
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,1391,1482,149,1645,1833,151,1646,1808,148
"Norway",2233,3262,170,2718,3604,168,2662,3931,159,3151,4615,162
"Poland",NA,NA,NA,NA,NA,NA,968,578,174,1280,715,182
"Portugal",NA,NA,NA,850,691,173,1029,853,172,1144,932,163
"Romania",NA,NA,NA,NA,NA,178,NA,NA,NA,490,260,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,NA,NA,NA,798,534,162,1108,751,177
"Slovenia",NA,NA,NA,NA,NA,179,1254,1055,164,1313,1072,165
"Spain",NA,NA,NA,1445,1305,161,1572,1479,165,1596,1473,163
"Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1543,2297,86
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,696,416,196
"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
