"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2844,2838,176,2857,3004,174,2993,3303,168,3436,3636,176
"Belgium",2878,2882,175,2763,2995,165,3060,3398,159,3418,3715,167
"Bulgaria",437,177,183,580,221,176,823,365,165,948,454,181
"Croatia",NA,NA,NA,NA,NA,NA,1481,1043,170,NA,NA,NA
"Cyprus",1957,1793,173,1450,2194,173,2676,2377,174,2281,2054,169
"Czech Rep.",1004,519,171,1286,782,173,1340,970,173,1586,1010,173
"Denmark",2779,3579,153,2869,3935,147,3369,4601,144,3624,5043,148
"Estonia",815,427,184,1057,676,176,1307,898,170,1592,1204,184
"Finland",2096,2486,166,2553,2978,167,2872,3431,165,3139,3840,167
"France",2456,2464,145,2707,3001,158,2624,2948,155,3046,3280,157
"Germany",3060,3166,164,3286,3379,161,3404,3556,161,3916,3974,166
"Greece",2472,2064,188,2417,2075,182,2719,2502,174,2462,2103,171
"Hungary",1027,550,185,1140,680,182,1320,788,167,1399,805,173
"Iceland",2354,3082,198,2707,4059,196,2566,2741,186,3092,3649,192
"Ireland",2860,3372,168,3646,4408,181,3841,4247,166,3832,4686,168
"Italy",2377,2233,182,2469,2526,177,2556,2615,170,2894,2979,184
"Latvia",638,322,179,802,461,172,637,579,154,1069,749,167
"Lithuania",754,371,178,1041,563,173,999,591,165,1128,708,176
"Luxembourg",3052,3123,181,3141,3526,174,3105,3756,170,3344,4027,186
"Macedonia",NA,NA,NA,NA,NA,NA,1180,457,170,1080,502,182
"Malta",1760,1271,192,825,1326,185,2019,1476,187,1959,1584,181
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1590,882,183
"Netherlands",2723,2777,161,2692,2870,159,3119,3474,165,3392,3725,166
"Norway",2864,4184,164,3442,4564,165,3797,5608,163,4299,6296,163
"Poland",1187,702,187,1359,789,177,1449,866,170,1844,1030,186
"Portugal",1288,986,171,1462,1187,173,1584,1313,173,1544,1258,173
"Romania",573,236,190,751,375,180,1000,496,171,1045,555,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1234,623,186
"Slovakia",899,391,172,880,600,172,1236,827,165,1487,1008,174
"Slovenia",1542,1059,169,1641,1225,180,1708,1437,166,2022,1651,179
"Spain",2298,1959,183,2302,2079,172,2425,2281,172,2588,2389,171
"Sweden",2216,2773,171,2575,3103,171,2846,3520,173,3316,4164,173
"Switzerland",NA,NA,NA,NA,NA,NA,3652,5238,176,4457,6635,177
"Turkey",NA,NA,NA,1609,925,197,1732,1070,197,1376,823,198
"United Kingdom",3148,3615,180,3465,3911,179,3331,3520,179,3268,3970,178
