"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2350,2471,175,2417,2668,168,2898,3066,177
"Belgium",NA,NA,NA,2189,2373,164,2429,2697,159,2637,2866,166
"Bulgaria",406,164,183,549,209,175,780,346,166,908,435,182
"Croatia",NA,NA,NA,NA,NA,NA,1171,825,171,NA,NA,NA
"Cyprus",NA,NA,NA,1318,1995,170,2590,2301,175,1985,1788,169
"Czech Rep.",839,434,173,1072,652,174,1128,817,174,1317,839,174
"Denmark",NA,NA,NA,2504,3434,142,2846,3886,139,2955,4112,141
"Estonia",NA,NA,NA,935,597,175,1108,762,169,1406,1063,183
"Finland",NA,NA,NA,2196,2561,168,2405,2873,166,2569,3142,167
"France",NA,NA,NA,1870,2073,151,1839,2067,150,2105,2267,151
"Germany",NA,NA,NA,2679,2754,164,2657,2775,160,3064,3109,167
"Greece",NA,NA,NA,2483,2131,182,2654,2443,173,2314,1977,169
"Hungary",783,419,185,893,533,182,1046,625,166,1127,648,173
"Iceland",NA,NA,NA,NA,NA,203,2339,2498,188,2787,3289,193
"Ireland",2836,3344,172,3314,4006,179,3465,3831,163,3067,3750,163
"Italy",NA,NA,NA,2063,2111,178,2040,2088,170,2217,2282,183
"Latvia",NA,NA,NA,698,401,172,585,531,156,999,700,168
"Lithuania",594,293,175,871,471,171,NA,NA,NA,947,594,176
"Luxembourg",NA,NA,NA,2540,2851,171,2524,3054,167,2898,3491,186
"Macedonia",NA,NA,NA,NA,NA,NA,981,380,169,901,419,182
"Malta",NA,NA,NA,769,1235,184,1898,1388,190,1910,1545,184
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1342,744,182
"Netherlands",2335,2382,160,2173,2316,157,2597,2894,162,2643,2903,165
"Norway",NA,NA,NA,2873,3809,167,3002,4434,163,3252,4763,162
"Poland",928,549,188,1060,616,178,1172,701,170,1534,856,187
"Portugal",NA,NA,NA,1162,944,174,1175,974,174,1226,999,174
"Romania",450,185,190,616,307,180,829,411,171,888,472,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1098,554,187
"Slovakia",739,321,172,709,483,173,1037,694,166,1250,848,175
"Slovenia",1201,825,171,1293,965,181,1373,1155,166,1611,1315,180
"Spain",1866,1590,184,1997,1803,172,2090,1966,172,2225,2054,173
"Sweden",1862,2330,173,2112,2546,172,2392,2959,174,2818,3539,175
"Switzerland",NA,NA,NA,NA,NA,NA,3136,4498,176,3722,5540,175
"Turkey",NA,NA,NA,1217,700,198,1785,1103,194,958,573,198
"United Kingdom",2629,3019,183,2907,3280,183,2713,2867,182,2624,3188,181
