"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,6033,6344,170,6417,7082,169,6774,7168,173
"Belgium",NA,NA,NA,5486,5946,162,6316,7012,157,7295,7929,166
"Bulgaria",776,314,183,1176,448,176,1747,775,165,2058,985,179
"Croatia",NA,NA,NA,NA,NA,NA,3188,2245,167,NA,NA,NA
"Cyprus",NA,NA,NA,3378,5112,163,6563,5829,166,5487,4942,168
"Czech Rep.",2046,1058,168,2770,1684,168,2903,2101,170,3389,2159,169
"Denmark",NA,NA,NA,4752,6518,160,5713,7803,160,6361,8851,160
"Estonia",NA,NA,NA,1807,1155,173,2340,1608,165,2691,2035,181
"Finland",NA,NA,NA,4816,5616,162,5691,6799,161,6072,7425,162
"France",NA,NA,NA,5302,5876,174,5193,5836,164,5975,6434,170
"Germany",NA,NA,NA,6433,6614,163,6539,6831,163,8356,8480,170
"Greece",NA,NA,NA,4744,4072,175,4539,4177,166,4562,3898,168
"Hungary",2010,1077,184,2315,1382,179,2956,1765,166,3252,1871,171
"Iceland",NA,NA,NA,4428,6639,177,3923,4191,174,5547,6546,178
"Ireland",4378,5162,155,5550,6709,170,5987,6620,162,4880,5967,151
"Italy",NA,NA,NA,6351,6498,167,6839,6999,166,7703,7928,178
"Latvia",NA,NA,NA,1435,825,170,1149,1044,153,1677,1176,162
"Lithuania",1389,684,180,1721,930,171,1625,961,158,2077,1303,169
"Luxembourg",NA,NA,NA,8079,9069,171,8272,10006,167,8987,10823,181
"Macedonia",NA,NA,NA,NA,NA,NA,2315,896,169,2025,942,184
"Malta",NA,NA,NA,1434,2305,NA,3863,2825,171,3933,3181,174
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,2783,1544,180
"Netherlands",4256,4341,161,4517,4814,160,5084,5664,160,5847,6421,166
"Norway",NA,NA,NA,4930,6537,160,5424,8011,161,6199,9079,160
"Poland",2595,1535,185,2982,1733,173,3120,1864,165,4179,2333,181
"Portugal",NA,NA,NA,4900,3981,163,5030,4169,163,5429,4422,165
"Romania",1348,554,187,1981,989,177,2350,1164,169,2314,1230,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,1005,184
"Slovakia",1865,811,175,1919,1308,169,2630,1759,160,2854,1935,173
"Slovenia",3192,2192,171,4462,3330,175,4544,3822,167,4644,3792,178
"Spain",5477,4668,177,5071,4580,169,4920,4629,167,4925,4546,167
"Sweden",4056,5076,171,4337,5226,171,4785,5918,172,5478,6878,173
"Switzerland",NA,NA,NA,NA,NA,NA,7654,10977,175,7655,11396,176
"Turkey",NA,NA,NA,3587,2063,192,4108,2538,190,5780,3456,194
"United Kingdom",5084,5838,167,5542,6254,166,5583,5900,166,5195,6311,166
