"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2260,2376,186,2331,2572,179,2649,2803,185
"Belgium",NA,NA,NA,2234,2422,164,2378,2640,155,2680,2913,162
"Bulgaria",395,160,183,525,200,176,697,309,165,736,352,181
"Croatia",NA,NA,NA,NA,NA,NA,1365,961,171,NA,NA,NA
"Cyprus",NA,NA,NA,1207,1826,183,2079,1846,182,1761,1586,175
"Czech Rep.",881,456,175,1062,646,175,1139,824,175,1259,802,175
"Denmark",NA,NA,NA,2426,3327,145,2826,3859,141,2773,3858,142
"Estonia",NA,NA,NA,912,583,180,1078,741,172,1314,994,184
"Finland",NA,NA,NA,2261,2637,169,2538,3032,167,2694,3295,167
"France",NA,NA,NA,1993,2208,154,1839,2067,154,2096,2257,155
"Germany",NA,NA,NA,2448,2517,167,2454,2563,166,2598,2636,166
"Greece",NA,NA,NA,2280,1957,183,2286,2104,177,1999,1708,172
"Hungary",816,437,187,944,563,183,1095,654,170,1151,662,176
"Iceland",NA,NA,NA,2329,3492,212,2048,2188,202,2460,2904,203
"Ireland",2173,2562,177,2652,3206,183,2975,3290,169,2722,3329,161
"Italy",NA,NA,NA,2215,2266,181,2266,2319,173,2235,2300,184
"Latvia",NA,NA,NA,654,376,175,590,536,158,895,628,160
"Lithuania",601,296,179,766,414,172,NA,NA,NA,943,592,182
"Luxembourg",NA,NA,NA,2628,2950,178,2536,3067,176,2812,3386,188
"Macedonia",NA,NA,NA,NA,NA,NA,1040,403,167,870,405,181
"Malta",NA,NA,NA,731,1175,178,1801,1317,188,1858,1503,191
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1292,717,183
"Netherlands",2289,2334,165,2147,2288,164,2400,2674,171,2316,2543,157
"Norway",NA,NA,NA,2727,3615,162,2830,4179,161,3182,4661,158
"Poland",971,574,188,1098,638,179,1236,739,173,1507,842,188
"Portugal",NA,NA,NA,1180,959,175,1184,982,175,1188,968,174
"Romania",470,193,192,618,308,180,841,417,172,893,474,186
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1117,563,186
"Slovakia",769,334,172,715,488,171,1012,677,165,1174,796,173
"Slovenia",1224,841,164,1313,980,182,1397,1175,168,1604,1310,179
"Spain",1981,1688,183,1999,1805,170,2009,1891,170,2190,2021,170
"Sweden",1726,2160,169,2082,2509,170,2280,2820,169,2644,3319,172
"Switzerland",NA,NA,NA,NA,NA,NA,3217,4614,176,3564,5306,176
"Turkey",NA,NA,NA,1007,580,201,NA,NA,NA,861,515,193
"United Kingdom",2294,2634,194,2445,2759,189,2257,2385,188,2295,2788,192
