"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,4504,4735,149,4255,4696,147,4764,5041,159
"Belgium",NA,NA,NA,3931,4261,135,4356,4836,144,4999,5434,151
"Bulgaria",620,251,181,889,339,172,1131,502,160,1364,653,176
"Croatia",NA,NA,NA,NA,NA,NA,2504,1764,163,NA,NA,NA
"Cyprus",NA,NA,NA,2550,3860,160,4600,4086,153,3906,3518,151
"Czech Rep.",1393,720,166,1881,1143,166,2023,1464,167,2315,1475,165
"Denmark",NA,NA,NA,3760,5157,155,4260,5818,155,4483,6238,154
"Estonia",NA,NA,NA,1313,839,157,1695,1165,148,1926,1456,156
"Finland",NA,NA,NA,3399,3964,162,3696,4416,159,3957,4839,162
"France",NA,NA,NA,3964,4393,161,3807,4278,151,4196,4518,156
"Germany",NA,NA,NA,4780,4914,163,5128,5357,161,5484,5566,163
"Greece",NA,NA,NA,3363,2887,162,3050,2807,148,2705,2311,147
"Hungary",1393,747,187,1831,1093,177,2088,1247,165,2231,1284,170
"Iceland",NA,NA,NA,3082,4622,178,2650,2831,173,3290,3883,162
"Ireland",3658,4312,114,5175,6255,143,5467,6045,143,4867,5952,145
"Italy",NA,NA,NA,3242,3317,124,4215,4313,140,4267,4392,141
"Latvia",NA,NA,NA,1117,642,154,861,782,138,1257,882,142
"Lithuania",809,398,148,1011,546,142,1153,682,131,1235,774,135
"Luxembourg",NA,NA,NA,5455,6123,168,5506,6660,166,6073,7314,178
"Macedonia",NA,NA,NA,NA,NA,NA,1762,683,168,1556,724,182
"Malta",NA,NA,NA,1087,1747,156,2635,1927,141,2772,2242,148
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1949,1081,178
"Netherlands",3708,3782,150,3437,3662,147,3886,4329,148,4219,4633,153
"Norway",NA,NA,NA,3865,5124,154,4037,5961,150,4647,6806,152
"Poland",1598,945,160,1752,1018,146,1982,1184,139,2493,1392,147
"Portugal",NA,NA,NA,3588,2915,156,3516,2915,147,3144,2561,158
"Romania",858,353,188,1214,606,177,1374,681,165,1520,808,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1756,886,181
"Slovakia",1163,506,173,1100,750,163,1599,1070,153,1945,1319,167
"Slovenia",3334,2290,177,3377,2520,177,3358,2825,168,3437,2807,180
"Spain",3762,3207,159,3595,3247,148,3605,3391,150,3642,3362,149
"Sweden",3253,4071,169,3167,3816,164,3344,4137,164,3937,4943,167
"Switzerland",NA,NA,NA,NA,NA,NA,5086,7294,148,5830,8679,160
"Turkey",NA,NA,NA,2537,1459,185,3009,1859,173,3498,2092,169
"United Kingdom",4231,4858,148,4603,5195,149,4224,4463,154,4059,4931,157
