"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2880,3028,172,2990,3300,167,3432,3632,172
"Belgium",NA,NA,NA,2838,3076,156,3187,3538,152,3460,3761,159
"Bulgaria",424,172,182,571,218,174,799,355,163,902,432,180
"Croatia",NA,NA,NA,NA,NA,NA,1565,1102,169,NA,NA,NA
"Cyprus",NA,NA,NA,1706,2583,171,3221,2861,170,2867,2582,168
"Czech Rep.",1027,531,172,1327,807,172,1396,1010,172,1591,1013,171
"Denmark",NA,NA,NA,2997,4111,149,3556,4857,149,3677,5116,147
"Estonia",NA,NA,NA,1034,660,173,1268,871,166,1516,1147,178
"Finland",NA,NA,NA,2637,3076,165,2970,3548,163,3170,3877,164
"France",NA,NA,NA,2830,3136,156,2727,3065,151,3056,3291,153
"Germany",NA,NA,NA,3275,3367,160,3342,3491,159,3688,3743,160
"Greece",NA,NA,NA,2680,2301,174,2708,2492,166,2486,2124,162
"Hungary",1031,553,185,1180,704,180,1355,809,166,1432,824,171
"Iceland",NA,NA,NA,2867,4299,187,2533,2706,182,3191,3766,182
"Ireland",2950,3479,151,3753,4537,166,4066,4496,160,3640,4451,152
"Italy",NA,NA,NA,2647,2708,165,2780,2845,164,2942,3028,173
"Latvia",NA,NA,NA,802,461,169,656,596,152,1021,716,160
"Lithuania",713,351,172,942,509,166,952,563,156,1079,677,169
"Luxembourg",NA,NA,NA,3731,4188,172,3725,4506,168,4243,5110,182
"Macedonia",NA,NA,NA,NA,NA,NA,1321,512,169,1119,521,182
"Malta",NA,NA,NA,832,1337,175,2091,1529,175,2170,1755,169
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1539,854,181
"Netherlands",3012,3072,157,2843,3030,154,3217,3584,156,3429,3766,157
"Norway",NA,NA,NA,3425,4541,160,3655,5398,157,4092,5993,156
"Poland",1185,701,183,1317,765,171,1431,855,165,1822,1017,180
"Portugal",NA,NA,NA,1821,1479,169,2006,1663,166,2014,1641,168
"Romania",608,250,189,798,399,178,1002,496,169,1012,538,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1262,636,185
"Slovakia",914,397,172,858,585,170,1220,816,163,1455,987,172
"Slovenia",1775,1219,171,1812,1352,180,1893,1593,166,2110,1723,179
"Spain",2449,2087,179,2436,2200,168,2519,2370,166,2605,2405,166
"Sweden",2328,2913,170,2631,3170,167,2834,3505,168,3277,4114,169
"Switzerland",NA,NA,NA,NA,NA,NA,3922,5624,167,4725,7035,169
"Turkey",NA,NA,NA,1643,945,195,1793,1108,192,1477,883,194
"United Kingdom",3209,3685,170,3524,3977,168,3382,3574,166,3255,3954,167
