"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3139,3132,170,3338,3510,167,2956,3262,166,3245,3434,170
"Belgium",2523,2526,167,2461,2668,153,2546,2827,146,2934,3189,162
"Bulgaria",311,126,176,508,194,172,701,311,159,724,346,172
"Croatia",NA,NA,NA,NA,NA,NA,1545,1088,169,NA,NA,NA
"Cyprus",1821,1669,170,1276,1931,179,2578,2290,170,2199,1980,171
"Czech Rep.",826,427,169,1095,666,169,1355,981,169,1534,977,167
"Denmark",2413,3108,142,2547,3494,155,2873,3923,152,2861,3981,147
"Estonia",710,372,168,829,530,164,1052,723,158,1267,958,179
"Finland",1669,1979,157,2049,2389,162,2140,2557,158,2172,2656,159
"France",1790,1796,142,1979,2193,151,1910,2147,148,2178,2345,148
"Germany",3249,3362,163,3633,3735,158,2547,2660,153,3235,3283,164
"Greece",2297,1917,173,2561,2199,172,2638,2428,166,2422,2069,167
"Hungary",770,413,179,871,520,179,1200,717,163,1143,657,164
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2396,2827,174
"Ireland",2721,3208,160,2906,3513,166,3177,3512,170,3514,4296,153
"Italy",2889,2713,171,2940,3009,171,2804,2870,163,2708,2788,173
"Latvia",514,259,176,760,437,164,641,583,147,987,692,154
"Lithuania",NA,NA,NA,690,373,162,NA,NA,NA,803,504,159
"Luxembourg",4188,4287,171,3320,3727,169,3744,4529,167,3840,4624,179
"Macedonia",NA,NA,NA,NA,NA,NA,1459,565,169,921,429,183
"Malta",1628,1175,177,751,1207,174,1760,1287,178,1656,1339,167
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1162,645,181
"Netherlands",2915,2973,158,2445,2605,153,2629,2928,156,2692,2956,150
"Norway",2198,3210,159,2576,3416,159,2704,3993,155,2993,4384,155
"Poland",955,564,185,1015,590,172,1215,726,165,1371,766,180
"Portugal",2161,1655,170,1670,1357,167,1851,1534,165,1943,1583,164
"Romania",492,202,181,678,338,174,891,442,166,867,461,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1207,609,184
"Slovakia",645,281,174,659,449,173,1004,672,162,1072,727,173
"Slovenia",1494,1026,177,1495,1116,177,1582,1331,168,1721,1405,173
"Spain",2567,2188,178,2391,2159,167,2767,2603,167,2593,2394,167
"Sweden",1729,2163,169,2025,2441,168,2195,2715,167,2605,3270,172
"Switzerland",NA,NA,NA,NA,NA,NA,4290,6152,174,3328,4955,158
"Turkey",NA,NA,NA,1440,828,192,2088,1290,186,1337,800,197
"United Kingdom",2210,2537,158,2334,2634,160,2262,2391,163,2171,2637,165
