"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Craft and related trades workers","Less than 30 years","Males",1515,1512,178,1535,1614,173,1563,1725,167,1916,2028,175
"Belgium","Business economy","Craft and related trades workers","Less than 30 years","Males",NA,NA,NA,1905,2066,165,2032,2255,163,2131,2316,170
"Bulgaria","Business economy","Craft and related trades workers","Less than 30 years","Males",307,124,184,422,161,174,620,275,163,773,370,182
"Croatia","Business economy","Craft and related trades workers","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,948,668,169,NA,NA,NA
"Cyprus","Business economy","Craft and related trades workers","Less than 30 years","Males",1217,1115,172,875,1325,170,1509,1341,173,1270,1144,174
"Czech Rep.","Business economy","Craft and related trades workers","Less than 30 years","Males",766,396,173,972,591,175,1028,744,174,1194,761,174
"Denmark","Business economy","Craft and related trades workers","Less than 30 years","Males",1808,2329,133,1819,2495,128,NA,NA,NA,2041,2840,125
"Estonia","Business economy","Craft and related trades workers","Less than 30 years","Males",694,363,185,1052,672,176,1138,782,169,1481,1120,184
"Finland","Business economy","Craft and related trades workers","Less than 30 years","Males",1637,1942,169,1874,2185,167,2124,2538,167,2226,2723,168
"France","Business economy","Craft and related trades workers","Less than 30 years","Males",1347,1351,149,1381,1531,154,1395,1568,152,1661,1788,154
"Germany","Business economy","Craft and related trades workers","Less than 30 years","Males",1578,1632,167,1607,1652,168,1628,1700,163,2002,2031,167
"Greece","Business economy","Craft and related trades workers","Less than 30 years","Males",1042,870,173,1224,1051,173,1360,1252,169,1063,908,162
"Hungary","Business economy","Craft and related trades workers","Less than 30 years","Males",668,358,186,747,446,183,906,541,167,997,574,171
"Iceland","Business economy","Craft and related trades workers","Less than 30 years","Males",1686,2207,176,1622,2431,162,1600,1709,164,1954,2307,173
"Ireland","Business economy","Craft and related trades workers","Less than 30 years","Males",1808,2132,158,2122,2565,168,2170,2399,162,2115,2586,147
"Italy","Business economy","Craft and related trades workers","Less than 30 years","Males",1492,1402,182,1473,1507,176,1580,1617,169,1679,1728,182
"Latvia","Business economy","Craft and related trades workers","Less than 30 years","Males",480,242,176,669,384,171,528,480,149,986,692,163
"Lithuania","Business economy","Craft and related trades workers","Less than 30 years","Males",546,269,176,824,445,174,NA,NA,NA,932,585,176
"Luxembourg","Business economy","Craft and related trades workers","Less than 30 years","Males",1836,1879,173,1776,1993,168,1765,2135,162,2074,2497,186
"Macedonia","Business economy","Craft and related trades workers","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,738,286,165,727,338,181
"Malta","Business economy","Craft and related trades workers","Less than 30 years","Males",1276,922,187,641,1030,181,1798,1315,189,1711,1384,184
"Montenegro","Business economy","Craft and related trades workers","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,781,433,180
"Netherlands","Business economy","Craft and related trades workers","Less than 30 years","Males",1655,1687,161,1492,1590,153,1670,1861,153,1605,1762,150
"Norway","Business economy","Craft and related trades workers","Less than 30 years","Males",2080,3038,164,2403,3186,167,2510,3708,164,2661,3897,163
"Poland","Business economy","Craft and related trades workers","Less than 30 years","Males",700,414,189,808,470,178,973,581,171,1266,707,186
"Portugal","Business economy","Craft and related trades workers","Less than 30 years","Males",797,611,170,798,649,174,901,747,174,955,777,175
"Romania","Business economy","Craft and related trades workers","Less than 30 years","Males",344,142,190,510,254,179,662,328,170,733,390,187
"Serbia","Business economy","Craft and related trades workers","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,845,426,187
"Slovakia","Business economy","Craft and related trades workers","Less than 30 years","Males",688,299,173,670,456,174,975,652,166,1159,786,175
"Slovenia","Business economy","Craft and related trades workers","Less than 30 years","Males",1038,713,174,1133,846,180,1209,1017,168,1399,1143,181
"Spain","Business economy","Craft and related trades workers","Less than 30 years","Males",1344,1146,183,1454,1313,172,1601,1506,172,1689,1559,171
"Sweden","Business economy","Craft and related trades workers","Less than 30 years","Males",1703,2131,174,1980,2386,175,2218,2744,176,2484,3119,174
"Switzerland","Business economy","Craft and related trades workers","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,2469,3541,175,2837,4224,172
"Turkey","Business economy","Craft and related trades workers","Less than 30 years","Males",NA,NA,NA,678,390,201,NA,NA,NA,886,530,203
"United Kingdom","Business economy","Craft and related trades workers","Less than 30 years","Males",2067,2373,183,2174,2453,183,1992,2105,181,2005,2436,181
