"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,940,989,128,876,967,121,1008,1066,118
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,1352,1466,154,1502,1667,151,1531,1664,146
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",177,72,183,262,100,165,365,162,168,420,201,169
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,887,625,170,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,744,1127,174,NA,NA,NA,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",557,288,180,685,417,175,684,495,172,707,451,167
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,1086,1489,89,734,1003,57,600,835,47
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,418,267,156,419,288,140,623,471,159
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,1270,1481,159,1220,1458,154,1302,1593,152
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,1252,1388,148,831,934,120,1039,1119,137
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,895,920,119,921,962,154,495,502,57
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,1233,1058,167,1030,948,150,NA,NA,NA
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",483,259,186,544,325,168,563,336,149,654,376,155
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,695,1042,97,438,468,70,521,614,64
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",1039,1225,106,1170,1415,130,2133,2358,163,1597,1953,102
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,1459,1493,155,1240,1269,156,1288,1326,152
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,390,224,160,302,275,148,498,350,151
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",311,153,164,398,215,145,NA,NA,NA,401,251,129
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,1290,1448,152,1420,1718,164,1637,1972,179
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,768,297,171,722,336,184
