"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,1437,1512,114,1764,1947,130,1462,1547,129
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,1829,1983,147,1799,1997,140,2011,2186,142
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",448,182,180,582,222,173,869,386,164,1397,669,172
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,1416,997,170,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,694,1051,127,1911,1697,127,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",755,390,164,918,558,162,1088,787,155,1084,691,152
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,1608,2206,125,1798,2455,114,1638,2280,107
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,719,459,137,887,610,137,917,694,156
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,1463,1706,140,1946,2324,157,2127,2601,154
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,1577,1747,139,1872,2103,129,2166,2332,144
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,1485,1526,145,1546,1615,137,1746,1772,114
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,1318,1132,164,1235,1137,171,1084,926,170
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",703,377,185,762,455,171,870,520,164,1411,812,166
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,1103,1653,113,1131,1208,130,NA,NA,NA
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",1646,1941,121,2020,2442,143,1893,2092,167,2125,2598,112
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,1800,1842,146,2254,2307,159,5389,5547,160
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,520,299,144,424,385,141,731,513,156
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",372,183,134,492,266,120,NA,NA,NA,639,401,146
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,2557,2870,149,2735,3309,164,2817,3393,171
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,1153,447,170,1011,470,182
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,642,1032,154,1918,1402,166,1753,1418,130
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1177,653,191
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",1540,1571,123,1456,1552,121,1511,1683,116,1485,1631,110
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,2232,2959,134,2104,3107,125,2075,3039,118
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",651,385,175,784,456,156,939,561,154,1136,634,169
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,1487,1208,163,3805,3154,160,1381,1125,165
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",416,171,182,538,269,174,548,271,138,583,310,167
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,940,474,186
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",551,240,175,737,502,156,989,662,161,1109,752,173
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",1378,946,152,1461,1090,183,1484,1249,179,1524,1245,183
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",1616,1377,155,1708,1542,144,1290,1213,123,1185,1094,101
"Sweden","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,1485,1789,136,1608,1989,133,1977,2482,142
"Switzerland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,2411,3458,146,2652,3947,147
"Turkey","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",NA,NA,NA,879,506,194,NA,NA,NA,1178,705,194
"United Kingdom","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Males",2764,3174,148,2186,2467,142,1862,1968,136,1775,2157,135
