"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2116,2112,180,2093,2200,174,2157,2381,168,2322,2457,173
"Belgium",2268,2271,177,2350,2547,172,2359,2618,165,2284,2482,172
"Bulgaria",398,161,184,613,234,176,893,396,165,1066,510,182
"Croatia",NA,NA,NA,NA,NA,NA,1170,824,171,NA,NA,NA
"Cyprus",1214,1112,166,898,1360,170,1831,1626,171,1805,1626,175
"Czech Rep.",1013,524,170,1237,752,171,1290,934,172,1449,923,171
"Denmark",2423,3121,159,2372,3254,155,2703,3692,149,2907,4044,149
"Estonia",1080,566,182,1202,768,170,1463,1005,167,1660,1255,181
"Finland",2027,2403,166,2261,2636,164,2429,2902,165,2584,3161,169
"France",1836,1842,152,1946,2156,154,1798,2021,152,2052,2210,154
"Germany",2253,2331,166,2195,2256,164,2597,2713,165,2651,2690,165
"Greece",1222,1020,172,1417,1217,177,1495,1376,174,1404,1200,170
"Hungary",1075,576,185,1156,690,185,1185,708,169,1504,865,174
"Iceland",2774,3632,172,2438,3655,167,2260,2414,164,2551,3011,158
"Ireland",2308,2721,163,2536,3065,175,2897,3204,170,2596,3174,165
"Italy",1930,1813,181,1654,1692,175,1844,1887,174,1946,2003,186
"Latvia",740,373,176,899,517,168,751,683,157,1169,820,168
"Lithuania",622,306,169,1037,560,168,NA,NA,NA,1173,736,177
"Luxembourg",2421,2478,178,2337,2623,172,2470,2988,167,2556,3078,188
"Macedonia",NA,NA,NA,NA,NA,NA,1107,429,171,963,448,182
"Malta",1365,986,163,679,1092,180,2033,1487,182,2182,1765,186
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1360,754,174
"Netherlands",2047,2088,156,1919,2045,162,2333,2600,165,2436,2675,163
"Norway",2533,3700,165,2975,3945,166,3478,5137,168,3784,5542,169
"Poland",1007,596,188,1171,680,178,1335,798,170,1653,923,186
"Portugal",1251,958,170,1190,966,171,1314,1089,174,1231,1003,174
"Romania",469,193,189,650,324,179,915,453,169,1028,546,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1143,577,187
"Slovakia",949,412,174,890,606,171,1278,855,165,1435,973,178
"Slovenia",1442,990,169,1509,1126,180,1637,1377,169,1794,1464,183
"Spain",1651,1408,181,1701,1536,171,1974,1857,172,1982,1830,170
"Sweden",1955,2447,172,2214,2668,172,2371,2932,173,2694,3383,174
"Switzerland",NA,NA,NA,NA,NA,NA,2976,4267,175,3313,4932,174
"Turkey",NA,NA,NA,950,547,201,NA,NA,NA,1205,721,202
"United Kingdom",2409,2766,169,2422,2733,168,2298,2429,172,2275,2763,174
