"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Total","Less than 30 years","Males",1713,1710,179,1725,1814,174,1766,1949,168,2097,2219,174
"Belgium","Industry and construction","Total","Less than 30 years","Males",2135,2138,178,2122,2300,169,2207,2450,164,2445,2657,171
"Bulgaria","Industry and construction","Total","Less than 30 years","Males",299,121,183,409,156,175,630,279,163,749,358,182
"Croatia","Industry and construction","Total","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,1024,721,169,NA,NA,NA
"Cyprus","Industry and construction","Total","Less than 30 years","Males",1215,1113,173,905,1369,175,1511,1342,178,1258,1133,171
"Czech Rep.","Industry and construction","Total","Less than 30 years","Males",833,430,172,1035,629,173,1080,781,173,1241,791,172
"Denmark","Industry and construction","Total","Less than 30 years","Males",1846,2378,129,1848,2534,125,2015,2752,120,2084,2899,120
"Estonia","Industry and construction","Total","Less than 30 years","Males",778,408,185,1075,687,175,1219,837,170,1463,1106,184
"Finland","Industry and construction","Total","Less than 30 years","Males",1770,2099,168,1993,2324,167,2206,2636,167,2296,2808,167
"France","Industry and construction","Total","Less than 30 years","Males",1569,1575,149,1599,1772,156,1502,1688,152,1807,1946,156
"Germany","Industry and construction","Total","Less than 30 years","Males",1820,1884,165,1781,1831,164,1832,1914,162,2216,2249,163
"Greece","Industry and construction","Total","Less than 30 years","Males",1057,882,174,1259,1081,176,1372,1263,169,1144,977,170
"Hungary","Industry and construction","Total","Less than 30 years","Males",780,418,186,884,528,184,1040,621,168,1183,681,175
"Iceland","Industry and construction","Total","Less than 30 years","Males",1537,2013,182,1525,2287,163,1574,1682,162,1891,2231,173
"Ireland","Industry and construction","Total","Less than 30 years","Males",1999,2356,162,2338,2827,174,2366,2616,169,2329,2848,165
"Italy","Industry and construction","Total","Less than 30 years","Males",1558,1464,182,1546,1582,177,1700,1739,170,1818,1871,186
"Latvia","Industry and construction","Total","Less than 30 years","Males",545,275,177,751,432,172,561,510,151,1001,702,163
"Lithuania","Industry and construction","Total","Less than 30 years","Males",613,302,177,936,506,173,876,518,162,1029,645,177
"Luxembourg","Industry and construction","Total","Less than 30 years","Males",2020,2067,180,1920,2156,173,1967,2379,170,2234,2690,188
"Macedonia","Industry and construction","Total","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,869,337,169,852,396,182
"Malta","Industry and construction","Total","Less than 30 years","Males",1369,988,187,655,1053,184,1800,1316,189,1772,1434,181
"Montenegro","Industry and construction","Total","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1008,559,179
"Netherlands","Industry and construction","Total","Less than 30 years","Males",1735,1769,159,1565,1668,155,1883,2098,160,1974,2167,159
"Norway","Industry and construction","Total","Less than 30 years","Males",2096,3062,163,2436,3230,164,2644,3905,163,2861,4190,162
"Poland","Industry and construction","Total","Less than 30 years","Males",785,464,188,913,531,179,1104,660,172,1422,794,187
"Portugal","Industry and construction","Total","Less than 30 years","Males",861,659,170,881,716,174,960,796,174,1000,815,175
"Romania","Industry and construction","Total","Less than 30 years","Males",351,144,191,484,241,180,726,360,172,742,394,185
"Serbia","Industry and construction","Total","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,907,458,187
"Slovakia","Industry and construction","Total","Less than 30 years","Males",753,327,174,730,498,173,1030,689,166,1205,817,174
"Slovenia","Industry and construction","Total","Less than 30 years","Males",1157,795,174,1205,900,180,1292,1087,168,1517,1238,181
"Spain","Industry and construction","Total","Less than 30 years","Males",1397,1190,183,1503,1357,172,1646,1548,171,1753,1618,170
"Sweden","Industry and construction","Total","Less than 30 years","Males",1748,2187,172,2010,2422,172,2201,2722,173,2525,3170,173
"Switzerland","Industry and construction","Total","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,2517,3609,175,3048,4537,175
"Turkey","Industry and construction","Total","Less than 30 years","Males",NA,NA,NA,750,432,202,876,541,203,936,560,203
"United Kingdom","Industry and construction","Total","Less than 30 years","Males",2136,2452,179,2282,2576,179,2104,2224,179,2103,2555,178
