"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,2203,2317,151,2034,2245,139,2285,2418,145
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,2237,2425,146,2508,2784,150,2861,3110,161
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",435,176,180,898,342,174,1452,644,163,1719,823,179
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,1658,1168,162,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,1196,1810,163,2065,1834,166,1777,1601,168
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",1168,604,164,1414,860,166,1586,1148,166,1778,1132,166
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,2171,2978,131,2338,3193,126,2226,3098,122
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,1514,967,161,1700,1168,154,1824,1379,166
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,2231,2602,158,2464,2943,153,2575,3150,154
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,2445,2710,164,2085,2343,157,2210,2380,150
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,2695,2771,155,2637,2754,147,2802,2844,146
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,1426,1224,146,1622,1492,155,1384,1182,159
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",1388,744,185,1475,880,180,1701,1016,164,1883,1083,168
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,2084,3124,141,1785,1907,141,1771,2090,133
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",2582,3044,143,2730,3300,164,2894,3200,157,3137,3836,136
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,1774,1815,168,1966,2012,157,1984,2043,180
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,1156,664,162,995,904,149,1482,1039,159
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",851,419,157,991,536,159,1134,671,148,1214,761,158
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,2837,3185,169,2859,3458,168,2969,3575,182
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,1551,601,165,1218,567,181
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,819,1316,149,2238,1636,155,2273,1838,157
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1536,852,177
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","Less than 30 years","Males",2286,2332,154,2014,2146,147,2043,2276,142,1991,2186,140
