"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1177,1237,154,1101,1215,142,1155,1222,134
"Belgium",NA,NA,NA,1343,1456,132,1528,1696,132,1470,1597,125
"Bulgaria",214,87,181,309,118,168,477,211,158,560,268,176
"Croatia",NA,NA,NA,NA,NA,NA,1012,713,170,NA,NA,NA
"Cyprus",NA,NA,NA,693,1049,171,1279,1136,175,1132,1019,175
"Czech Rep.",674,349,175,801,487,172,804,582,171,882,562,170
"Denmark",NA,NA,NA,1021,1401,90,1118,1527,87,981,1364,76
"Estonia",NA,NA,NA,750,479,166,787,541,162,894,676,164
"Finland",NA,NA,NA,1236,1441,127,1382,1651,129,1464,1791,130
"France",NA,NA,NA,1279,1418,140,1411,1586,143,1528,1646,142
"Germany",NA,NA,NA,1126,1157,129,1099,1148,133,1187,1205,126
"Greece",NA,NA,NA,1181,1014,163,1097,1009,152,877,749,141
"Hungary",558,299,187,597,356,180,731,437,162,956,550,177
"Iceland",NA,NA,NA,1037,1554,109,979,1045,115,971,1146,103
"Ireland",1114,1314,123,1449,1751,142,1400,1548,132,1485,1816,127
"Italy",NA,NA,NA,1429,1462,158,1364,1396,155,1432,1474,159
"Latvia",NA,NA,NA,617,355,168,470,427,145,696,488,146
"Lithuania",480,236,177,595,322,170,637,377,157,667,418,163
"Luxembourg",NA,NA,NA,1591,1786,159,1564,1891,151,1852,2231,165
"Macedonia",NA,NA,NA,NA,NA,NA,818,317,162,626,291,176
"Malta",NA,NA,NA,432,694,139,1013,741,126,1037,839,127
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,740,410,178
"Netherlands",1253,1278,134,990,1055,114,902,1005,98,882,969,92
"Norway",NA,NA,NA,1177,1560,95,1118,1651,88,1244,1821,91
"Poland",606,358,187,659,383,167,841,503,162,1012,565,174
"Portugal",NA,NA,NA,781,635,169,797,661,151,830,676,153
"Romania",245,101,192,356,178,178,514,255,167,536,285,177
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,720,363,183
"Slovakia",587,255,177,541,369,172,797,533,161,943,639,170
"Slovenia",971,667,169,1048,782,182,1177,990,166,1162,949,173
"Spain",1178,1004,168,1197,1081,151,1176,1106,146,1055,973,129
"Sweden",1112,1392,122,1363,1642,129,1376,1702,123,1519,1907,122
"Switzerland",NA,NA,NA,NA,NA,NA,1902,2728,147,2031,3023,135
"Turkey",NA,NA,NA,662,381,199,803,496,201,818,489,196
"United Kingdom",973,1118,115,1039,1173,117,1010,1068,118,994,1207,119
