"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1979,2081,162,2008,2216,160,2082,2203,163
"Belgium",NA,NA,NA,2091,2266,162,2173,2412,157,2172,2361,162
"Bulgaria",481,195,183,698,266,173,1012,449,165,1180,565,181
"Croatia",NA,NA,NA,NA,NA,NA,1337,941,169,NA,NA,NA
"Cyprus",NA,NA,NA,893,1352,155,1981,1760,160,2348,2115,173
"Czech Rep.",1029,532,170,1295,787,170,1358,983,170,1470,936,169
"Denmark",NA,NA,NA,1997,2739,138,2318,3166,138,2357,3279,137
"Estonia",NA,NA,NA,1229,785,165,1420,976,162,1592,1204,176
"Finland",NA,NA,NA,2047,2387,159,2239,2675,160,2347,2870,161
"France",NA,NA,NA,1831,2030,152,1910,2146,150,2065,2224,153
"Germany",NA,NA,NA,1832,1883,158,2219,2318,155,2138,2170,147
"Greece",NA,NA,NA,1349,1158,171,1313,1208,166,1296,1107,166
"Hungary",1019,546,184,1116,666,179,1283,766,167,1509,868,167
"Iceland",NA,NA,NA,1847,2769,137,2016,2153,157,2367,2794,161
"Ireland",2166,2554,152,2412,2915,169,2281,2522,164,2113,2583,131
"Italy",NA,NA,NA,1820,1862,167,1899,1943,170,2392,2462,180
"Latvia",NA,NA,NA,966,555,165,797,725,154,1199,841,164
"Lithuania",593,292,162,820,443,156,882,522,152,1148,720,174
"Luxembourg",NA,NA,NA,2620,2941,170,2643,3197,165,2613,3146,183
"Macedonia",NA,NA,NA,NA,NA,NA,1248,484,169,980,456,182
"Malta",NA,NA,NA,720,1158,173,1866,1364,175,1860,1505,164
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1262,700,173
"Netherlands",1865,1902,150,1754,1870,144,1835,2044,139,1763,1936,135
"Norway",NA,NA,NA,2691,3568,156,2929,4325,155,2972,4352,150
"Poland",1027,607,186,1114,647,172,1274,761,166,1554,868,182
"Portugal",NA,NA,NA,1350,1097,171,1864,1545,168,1279,1042,171
"Romania",470,193,185,627,313,176,901,446,164,977,519,179
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1131,571,185
"Slovakia",989,430,175,907,618,170,1311,877,164,1399,949,176
"Slovenia",1553,1066,164,1525,1139,179,1619,1362,170,1754,1432,181
"Spain",1685,1436,176,1666,1504,165,1705,1604,162,1638,1512,153
"Sweden",1929,2414,170,2003,2414,161,2142,2649,163,2429,3050,165
"Switzerland",NA,NA,NA,NA,NA,NA,2919,4186,171,3098,4612,166
"Turkey",NA,NA,NA,981,564,199,1065,658,198,1194,714,199
"United Kingdom",2610,2997,159,2537,2863,158,2005,2119,158,1976,2401,162
