"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1331,1328,174,1424,1497,170,1499,1654,167,1800,1904,172
"Belgium",NA,NA,NA,1667,1807,157,1882,2090,160,2041,2218,163
"Bulgaria",305,124,182,401,153,172,NA,NA,NA,675,323,178
"Croatia",NA,NA,NA,NA,NA,NA,1003,706,167,NA,NA,NA
"Cyprus",1158,1061,171,NA,NA,174,1618,1437,174,1305,1176,176
"Czech Rep.",758,392,174,961,584,174,1008,730,174,1091,695,174
"Denmark",1762,2269,138,1777,2437,131,NA,NA,NA,1865,2595,125
"Estonia",696,364,183,1159,740,175,1150,790,NA,1599,1209,181
"Finland",1567,1858,168,1716,2001,163,1973,2357,166,2091,2557,167
"France",1301,1306,149,1322,1465,154,1404,1577,153,1602,1725,153
"Germany",1317,1363,164,1333,1371,165,1421,1484,163,1737,1763,163
"Greece",1062,887,172,1305,1120,172,1412,1299,171,1008,861,163
"Hungary",580,311,184,688,411,181,835,499,165,885,509,164
"Iceland",NA,NA,NA,2158,3236,195,1775,1895,169,1937,2286,168
"Ireland",NA,NA,NA,1688,2041,155,NA,NA,NA,1778,2175,132
"Italy",1463,1374,176,1416,1448,174,1371,1403,163,1422,1464,161
"Latvia",466,235,174,680,391,170,593,539,152,957,671,168
"Lithuania",456,224,168,656,354,168,NA,NA,NA,789,495,172
"Luxembourg",1721,1761,162,1717,1927,156,NA,NA,NA,1931,2326,180
"Macedonia",NA,NA,NA,NA,NA,NA,873,338,NA,664,309,180
"Malta",1231,889,177,NA,NA,NA,NA,NA,NA,1573,1272,182
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,810,449,180
"Netherlands",1277,1302,153,1246,1328,140,1343,1496,138,1367,1501,137
"Norway",1943,2838,157,2371,3143,165,2385,3522,162,2505,3669,158
"Poland",712,421,188,754,438,174,956,571,168,1104,616,183
"Portugal",836,640,170,846,688,174,970,804,175,970,790,174
"Romania",331,136,185,587,293,176,659,326,168,660,351,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,793,400,178
"Slovakia",677,294,171,636,434,174,920,615,164,1036,702,176
"Slovenia",1097,753,176,1151,859,178,1224,1030,168,1367,1116,180
"Spain",1295,1104,183,1391,1256,170,1554,1462,169,1572,1451,167
"Sweden",1584,1983,173,1865,2247,175,2112,2612,177,2318,2910,176
"Switzerland",NA,NA,NA,NA,NA,NA,2460,3528,175,2643,3934,161
"Turkey",NA,NA,NA,699,402,200,NA,NA,NA,945,565,199
"United Kingdom",1966,2258,179,2054,2318,179,1817,1920,177,1918,2331,179
