"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2445,2440,175,2471,2599,170,2364,2609,160,2540,2687,163
"Belgium",2493,2496,174,2437,2641,169,2615,2903,160,2855,3103,166
"Bulgaria",594,241,181,1099,419,175,1661,737,164,2065,989,181
"Croatia",NA,NA,NA,NA,NA,NA,1775,1251,169,NA,NA,NA
"Cyprus",2026,1857,172,1269,1921,170,2137,1898,170,2012,1812,171
"Czech Rep.",1371,709,166,1548,941,168,1782,1289,170,1965,1252,169
"Denmark",2691,3465,155,2369,3249,142,2582,3527,135,2606,3626,132
"Estonia",1894,992,181,1900,1214,171,2017,1386,165,2224,1682,180
"Finland",2186,2593,161,2343,2733,159,2581,3084,158,2681,3279,156
"France",2993,3003,151,2686,2977,167,2514,2825,160,2691,2898,165
"Germany",2995,3099,160,2715,2791,156,2630,2747,152,2900,2943,155
"Greece",1413,1179,NA,1627,1397,171,1593,1466,162,1436,1227,155
"Hungary",1858,996,184,1777,1061,183,2056,1228,165,2062,1186,168
"Iceland",NA,NA,NA,2958,4435,153,2796,2987,160,2804,3309,161
"Ireland",2594,3058,154,2488,3007,167,2745,3035,162,3250,3974,137
"Italy",NA,NA,NA,1866,1909,185,1939,1984,166,1981,2039,183
"Latvia",1277,644,178,1359,781,168,1204,1095,156,1820,1276,166
"Lithuania",1057,521,174,1029,556,165,1284,759,155,1381,866,169
"Luxembourg",3176,3250,176,2840,3188,171,2896,3503,169,2912,3507,184
"Macedonia",NA,NA,NA,NA,NA,NA,1753,679,168,1277,594,181
"Malta",1761,1271,166,913,1468,168,2436,1781,175,2275,1840,159
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1748,970,173
"Netherlands",2411,2459,158,2060,2195,149,2068,2304,146,1993,2188,145
"Norway",2935,4287,163,3088,4095,166,3085,4556,160,3323,4867,159
"Poland",1582,936,183,1621,942,173,1834,1096,160,2133,1191,178
"Portugal",1876,1436,169,1681,1366,167,1689,1400,169,1618,1318,171
"Romania",921,379,184,1188,593,175,1504,745,166,1736,923,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1805,911,182
"Slovakia",1480,643,175,1245,849,171,1814,1214,163,1882,1276,177
"Slovenia",2313,1589,163,1993,1488,176,2054,1728,167,2195,1792,180
"Spain",2032,1732,182,2059,1859,171,2173,2044,171,2236,2064,171
"Sweden",2360,2953,171,2485,2994,169,2515,3111,171,2798,3514,172
"Switzerland",NA,NA,NA,NA,NA,NA,3572,5123,171,3561,5301,170
"Turkey",NA,NA,NA,1453,836,196,NA,NA,NA,2122,1269,190
"United Kingdom",3239,3720,163,3389,3825,162,2786,2944,162,2706,3287,163
