"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1691,1687,172,1662,1748,166,1618,1786,159,1808,1914,158
"Belgium",2169,2171,175,2006,2174,157,2025,2248,151,2074,2254,152
"Bulgaria",225,91,179,302,115,171,433,192,154,520,249,178
"Croatia",NA,NA,NA,NA,NA,NA,1004,707,169,NA,NA,NA
"Cyprus",1249,1144,172,927,1403,178,1603,1424,176,1235,1112,168
"Czech Rep.",645,333,170,807,491,171,904,655,172,963,614,172
"Denmark",1439,1853,104,1623,2226,107,1799,2456,103,1690,2352,95
"Estonia",510,267,179,692,442,167,820,563,163,1014,766,173
"Finland",1559,1849,159,1739,2028,159,1919,2292,158,2046,2502,161
"France",1440,1445,141,1439,1595,145,1372,1541,140,1666,1794,143
"Germany",1868,1932,151,1739,1787,145,1531,1600,141,1117,1133,99
"Greece",1108,925,174,1704,1463,177,1376,1266,167,1224,1046,164
"Hungary",541,290,181,563,336,175,667,398,159,815,469,163
"Iceland",1450,1898,190,1637,2455,182,1562,1668,174,1955,2308,188
"Ireland",1763,2078,161,2153,2603,165,2201,2433,163,2176,2660,148
"Italy",1641,1541,176,1467,1501,164,1599,1637,163,1693,1743,173
"Latvia",463,234,175,583,335,167,455,414,149,712,500,154
"Lithuania",389,192,171,608,329,168,577,341,155,672,422,165
"Luxembourg",2070,2118,173,1843,2069,166,1918,2320,160,2017,2429,176
"Macedonia",NA,NA,NA,NA,NA,NA,864,334,169,736,342,182
"Malta",1240,895,179,559,898,172,1453,1062,178,1321,1068,160
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,922,512,179
"Netherlands",1320,1346,122,1082,1154,111,1074,1196,107,1097,1205,100
"Norway",2232,3261,146,1903,2523,134,2207,3259,142,2228,3264,138
"Poland",636,376,187,725,421,174,933,558,170,1128,630,183
"Portugal",729,558,169,860,699,175,910,755,169,966,787,168
"Romania",257,106,190,364,182,179,477,236,169,538,286,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,909,458,185
"Slovakia",579,252,170,536,366,172,773,517,161,928,629,171
"Slovenia",1010,694,172,1011,755,178,1120,942,166,1304,1065,179
"Spain",1152,982,176,1302,1176,168,1398,1315,160,1434,1323,157
"Sweden",1754,2195,164,1716,2068,160,1778,2199,152,1859,2334,147
"Switzerland",NA,NA,NA,NA,NA,NA,2125,3048,160,2972,4424,162
"Turkey",NA,NA,NA,722,416,200,844,522,202,821,491,200
"United Kingdom",1779,2043,170,1980,2235,174,1548,1635,159,1509,1833,159
