"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1846,1842,170,1815,1908,163,1691,1866,153,1698,1797,146
"Belgium",1874,1876,153,1842,1997,148,1990,2209,143,1999,2173,145
"Bulgaria",222,90,179,313,119,164,445,197,158,528,253,178
"Croatia",NA,NA,NA,NA,NA,NA,1190,838,171,NA,NA,NA
"Cyprus",1393,1277,171,975,1476,172,1603,1424,176,1397,1258,178
"Czech Rep.",694,359,177,835,508,171,840,608,168,926,590,167
"Denmark",1175,1513,100,1368,1877,103,1815,2478,110,1571,2186,97
"Estonia",638,334,186,747,477,177,802,551,166,969,733,173
"Finland",1427,1693,146,1577,1840,142,1827,2183,147,1881,2300,147
"France",1557,1562,143,1522,1687,148,1700,1910,147,1967,2119,149
"Germany",2047,2118,154,1953,2008,145,1818,1899,142,1873,1901,139
"Greece",1159,967,167,1452,1246,170,1500,1380,164,1270,1085,154
"Hungary",589,315,186,644,384,179,819,489,163,1085,624,176
"Iceland",1571,2057,154,1751,2626,147,1712,1828,155,1667,1968,141
"Ireland",1727,2036,145,2065,2496,160,2183,2414,154,1944,2377,139
"Italy",1764,1657,177,1854,1897,168,1860,1904,169,1851,1906,174
"Latvia",432,218,172,610,351,169,490,446,147,761,533,153
"Lithuania",517,254,178,603,326,171,690,408,163,737,462,173
"Luxembourg",1971,2017,173,1948,2187,166,1980,2395,161,2268,2731,173
"Macedonia",NA,NA,NA,NA,NA,NA,965,374,167,740,344,179
"Malta",1067,771,149,559,899,150,1312,959,145,1250,1011,138
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,895,496,180
"Netherlands",1865,1902,146,1662,1772,135,1578,1759,124,1552,1705,121
"Norway",1532,2238,122,1834,2431,123,1678,2479,113,1856,2718,114
"Poland",642,380,187,692,402,170,881,526,164,1108,619,178
"Portugal",821,629,168,976,793,170,1108,919,163,1026,836,163
"Romania",284,117,191,388,194,178,518,257,168,541,287,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,830,419,184
"Slovakia",693,301,176,589,402,172,840,562,163,1006,682,170
"Slovenia",1120,769,169,1257,938,184,1308,1101,168,1382,1128,176
"Spain",1554,1324,180,1497,1352,163,1541,1450,165,1550,1431,157
"Sweden",1362,1705,140,1757,2117,150,1837,2272,147,2038,2560,144
"Switzerland",NA,NA,NA,NA,NA,NA,2516,3609,159,2800,4168,151
"Turkey",NA,NA,NA,769,443,199,906,560,201,886,530,198
"United Kingdom",1283,1474,129,1259,1421,129,1400,1479,137,1328,1613,137
