"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2590,2723,144,2376,2623,137,2558,2707,138
"Belgium",NA,NA,NA,2542,2755,127,2973,3301,136,2981,3241,131
"Bulgaria",448,182,180,694,265,171,942,418,159,1103,528,173
"Croatia",NA,NA,NA,NA,NA,NA,1878,1323,158,NA,NA,NA
"Cyprus",NA,NA,NA,1805,2732,156,3553,3156,145,3111,2802,151
"Czech Rep.",1120,579,164,1397,849,163,1491,1079,164,1602,1021,161
"Denmark",NA,NA,NA,2587,3548,140,2970,4056,140,2851,3967,134
"Estonia",NA,NA,NA,1079,689,147,1291,887,139,1417,1072,150
"Finland",NA,NA,NA,2572,3000,158,2774,3314,154,2922,3573,155
"France",NA,NA,NA,2539,2814,143,2341,2630,139,2673,2878,142
"Germany",NA,NA,NA,3269,3361,155,3083,3220,146,3315,3364,145
"Greece",NA,NA,NA,2405,2065,151,2251,2072,148,2137,1826,156
"Hungary",996,534,188,1260,752,176,1368,817,165,1562,899,169
"Iceland",NA,NA,NA,2421,3630,161,1941,2073,158,2151,2539,147
"Ireland",2919,3442,119,3948,4772,139,3967,4386,141,3569,4364,126
"Italy",NA,NA,NA,2493,2551,128,2959,3028,140,3163,3256,143
"Latvia",NA,NA,NA,890,512,150,696,633,137,1019,715,142
"Lithuania",677,333,141,925,500,136,1026,606,126,1076,675,131
"Luxembourg",NA,NA,NA,3907,4386,161,3947,4775,158,4817,5801,171
"Macedonia",NA,NA,NA,NA,NA,NA,1446,560,167,1277,594,182
"Malta",NA,NA,NA,844,1355,149,2105,1539,147,2324,1880,148
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1377,764,176
"Netherlands",2932,2990,142,2537,2704,138,2792,3111,133,2848,3127,132
"Norway",NA,NA,NA,2920,3871,144,2772,4093,134,3023,4427,133
"Poland",1174,694,146,1318,766,128,1455,869,124,1834,1024,139
"Portugal",NA,NA,NA,2496,2028,152,2356,1953,149,2097,1708,157
"Romania",649,267,188,969,484,177,972,482,165,1075,571,178
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1238,624,174
"Slovakia",866,377,174,805,549,160,1197,801,150,1440,976,161
"Slovenia",2600,1786,174,2550,1903,178,2576,2167,168,2543,2077,179
"Spain",2171,1851,155,2368,2138,144,2333,2195,141,2340,2160,139
"Sweden",NA,NA,NA,2199,2650,150,2299,2843,151,2610,3278,153
"Switzerland",NA,NA,NA,NA,NA,NA,3355,4811,136,3946,5875,147
"Turkey",NA,NA,NA,1366,786,190,1712,1058,186,2082,1245,189
"United Kingdom",3211,3687,146,3398,3834,146,2991,3161,144,2818,3424,145
