"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1871,1967,186,1674,1847,165,1813,1918,158
"Belgium",NA,NA,NA,1494,1619,147,1762,1957,153,1989,2162,147
"Bulgaria",266,108,184,393,150,176,490,217,160,600,287,176
"Croatia",NA,NA,NA,NA,NA,NA,1340,944,169,NA,NA,NA
"Cyprus",NA,NA,NA,1196,1811,179,1977,1756,190,1768,1593,178
"Czech Rep.",773,400,179,960,584,178,1010,731,179,1086,692,176
"Denmark",NA,NA,NA,2502,3432,161,2536,3463,141,2354,3275,129
"Estonia",NA,NA,NA,726,464,172,776,533,167,869,657,174
"Finland",NA,NA,NA,1847,2153,168,1619,1934,155,1707,2087,161
"France",NA,NA,NA,1834,2032,151,1325,1489,142,1497,1612,140
"Germany",NA,NA,NA,2000,2056,160,1313,1371,122,1245,1264,108
"Greece",NA,NA,NA,NA,NA,NA,1738,1600,171,1694,1447,165
"Hungary",633,339,189,772,461,181,842,503,172,905,521,171
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1550,1827,155,1911,2310,163,2053,2270,146,1784,2182,121
"Italy",NA,NA,NA,1941,1986,163,1898,1942,164,1554,1600,165
"Latvia",NA,NA,NA,551,316,176,481,438,165,816,572,173
"Lithuania",499,246,183,662,358,173,NA,NA,NA,766,480,185
"Luxembourg",NA,NA,NA,2256,2533,171,1639,1983,139,2314,2787,173
"Macedonia",NA,NA,NA,NA,NA,NA,1022,396,169,875,407,184
"Malta",NA,NA,NA,575,923,174,1897,1387,198,1824,1475,171
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1058,587,188
"Netherlands",2111,2153,165,1859,1982,145,1634,1820,128,1475,1619,124
"Norway",NA,NA,NA,2411,3197,165,2110,3116,146,2304,3374,150
"Poland",789,467,188,909,528,175,929,555,163,1188,663,178
"Portugal",NA,NA,NA,1013,823,168,1021,846,170,997,812,168
"Romania",371,153,193,539,269,182,580,287,168,698,371,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,799,403,183
"Slovakia",538,234,176,558,380,165,828,554,159,940,637,170
"Slovenia",1357,932,169,1401,1046,181,1583,1332,180,1589,1298,186
"Spain",1521,1297,174,1632,1474,162,1661,1562,167,1787,1650,165
"Sweden",NA,NA,NA,1905,2295,170,1807,2235,162,2069,2598,166
"Switzerland",NA,NA,NA,NA,NA,NA,3006,4311,167,2333,3473,143
"Turkey",NA,NA,NA,791,455,197,NA,NA,NA,887,531,200
"United Kingdom",1901,2183,174,2076,2343,175,1598,1689,152,1508,1832,149
