"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2350,2471,149,2225,2455,139,2459,2602,140
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2305,2499,133,2702,3000,139,2653,2883,135
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",368,149,181,548,209,170,839,372,160,966,462,174
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,NA,NA,NA,1761,1240,160,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,1647,2493,159,3369,2993,148,2947,2655,153
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",943,488,168,1210,736,166,1416,1025,166,1510,962,163
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2490,3416,141,2897,3957,138,2775,3861,132
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,916,585,151,1181,811,141,1306,988,152
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2408,2808,158,2678,3200,154,2835,3467,155
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2316,2566,143,2185,2455,138,2483,2674,142
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2975,3059,153,2891,3020,145,3062,3107,140
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2312,1985,155,2208,2032,150,2100,1794,157
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",843,452,187,1051,627,176,1201,718,164,1368,787,168
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2374,3559,160,1910,2040,157,2108,2488,145
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",2738,3228,123,3593,4343,142,3635,4019,142,3382,4135,127
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2369,2424,133,2846,2912,142,2917,3003,145
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,724,416,157,574,521,144,872,611,149
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",547,269,153,761,411,146,860,509,133,948,594,140
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,3373,3786,162,3452,4176,158,4291,5167,172
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,NA,NA,NA,1364,528,167,1205,561,182
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,778,1250,158,1998,1461,153,2235,1808,150
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1340,744,177
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",2676,2730,141,2287,2438,135,2639,2940,132,2737,3005,131
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2856,3787,144,2733,4036,134,2985,4372,133
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",1021,604,159,1164,676,138,1342,802,130,1706,953,144
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2172,1765,154,2172,1800,151,1963,1599,158
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",568,234,188,842,420,178,874,433,165,972,517,179
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1119,565,176
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",752,327,174,699,477,162,1119,749,152,1342,910,162
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",2318,1592,173,2232,1666,178,2424,2039,168,2442,1994,179
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",2003,1707,158,2182,1970,147,2225,2094,144,2221,2051,142
"Sweden","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,2123,2558,151,2253,2786,151,2573,3230,154
"Switzerland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,NA,NA,NA,3286,4712,138,3840,5716,146
"Turkey","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",NA,NA,NA,1201,691,192,1569,970,188,1841,1101,190
"United Kingdom","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Males",2908,3339,150,3014,3401,147,2811,2971,144,2664,3237,145
