"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Craft and related trades workers","Total","Males",2035,2030,181,2062,2169,176,2075,2290,168,2499,2644,176
"Belgium","Industry and construction","Craft and related trades workers","Total","Males",NA,NA,NA,2161,2342,167,2331,2588,163,2514,2733,171
"Bulgaria","Industry and construction","Craft and related trades workers","Total","Males",401,163,183,543,207,175,749,333,165,897,429,182
"Croatia","Industry and construction","Craft and related trades workers","Total","Males",NA,NA,NA,NA,NA,NA,1066,751,170,NA,NA,NA
"Cyprus","Industry and construction","Craft and related trades workers","Total","Males",1602,1468,173,1185,1794,170,2037,1809,175,1679,1512,171
"Czech Rep.","Industry and construction","Craft and related trades workers","Total","Males",829,428,173,1068,650,175,1137,823,174,1334,850,174
"Denmark","Industry and construction","Craft and related trades workers","Total","Males",2177,2804,137,2294,3146,134,2575,3517,131,2694,3748,133
"Estonia","Industry and construction","Craft and related trades workers","Total","Males",735,385,184,1024,654,176,1164,800,170,1494,1130,184
"Finland","Industry and construction","Craft and related trades workers","Total","Males",1845,2188,168,2174,2535,168,2372,2834,167,2526,3090,167
"France","Industry and construction","Craft and related trades workers","Total","Males",1729,1735,149,1774,1967,153,1713,1925,151,2040,2197,153
"Germany","Industry and construction","Craft and related trades workers","Total","Males",2337,2418,169,2492,2562,168,2451,2560,162,2840,2882,167
"Greece","Industry and construction","Craft and related trades workers","Total","Males",1516,1266,180,1976,1696,183,2035,1873,171,1911,1632,168
"Hungary","Industry and construction","Craft and related trades workers","Total","Males",767,411,186,884,528,184,1043,623,167,1173,675,175
"Iceland","Industry and construction","Craft and related trades workers","Total","Males",2189,2866,191,NA,NA,NA,2181,2330,186,2502,2952,186
"Ireland","Industry and construction","Craft and related trades workers","Total","Males",2424,2858,167,2905,3512,176,3023,3342,167,2939,3593,168
"Italy","Industry and construction","Craft and related trades workers","Total","Males",1737,1631,183,1783,1825,176,1922,1967,171,2177,2240,188
"Latvia","Industry and construction","Craft and related trades workers","Total","Males",534,269,178,711,409,172,552,502,152,999,700,163
"Lithuania","Industry and construction","Craft and related trades workers","Total","Males",623,307,178,920,497,174,NA,NA,NA,983,616,177
"Luxembourg","Industry and construction","Craft and related trades workers","Total","Males",2323,2377,184,2198,2468,175,2261,2735,172,2542,3062,189
"Macedonia","Industry and construction","Craft and related trades workers","Total","Males",NA,NA,NA,NA,NA,NA,857,332,168,876,408,182
"Malta","Industry and construction","Craft and related trades workers","Total","Males",1473,1064,189,750,1204,188,2072,1515,196,1834,1484,185
"Montenegro","Industry and construction","Craft and related trades workers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1244,690,183
"Netherlands","Industry and construction","Craft and related trades workers","Total","Males",2187,2230,163,2069,2205,161,2486,2769,167,2540,2790,168
"Norway","Industry and construction","Craft and related trades workers","Total","Males",2355,3439,167,2751,3647,168,2866,4232,164,3090,4526,165
"Poland","Industry and construction","Craft and related trades workers","Total","Males",904,535,189,1061,617,180,1146,685,172,1518,848,187
"Portugal","Industry and construction","Craft and related trades workers","Total","Males",937,717,171,959,779,174,1040,862,174,1117,910,174
"Romania","Industry and construction","Craft and related trades workers","Total","Males",454,187,189,605,302,180,811,402,172,858,456,187
"Serbia","Industry and construction","Craft and related trades workers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1044,526,188
"Slovakia","Industry and construction","Craft and related trades workers","Total","Males",757,329,173,743,506,174,1081,723,167,1303,884,175
"Slovenia","Industry and construction","Craft and related trades workers","Total","Males",1153,792,176,1279,955,181,1343,1130,167,1588,1297,181
"Spain","Industry and construction","Craft and related trades workers","Total","Males",1597,1361,183,1708,1543,172,1827,1719,169,2014,1859,170
"Sweden","Industry and construction","Craft and related trades workers","Total","Males",1863,2332,174,2190,2639,174,2395,2962,175,2738,3438,174
"Switzerland","Industry and construction","Craft and related trades workers","Total","Males",NA,NA,NA,NA,NA,NA,2870,4115,176,3435,5114,177
"Turkey","Industry and construction","Craft and related trades workers","Total","Males",NA,NA,NA,844,486,202,NA,NA,NA,1003,600,204
"United Kingdom","Industry and construction","Craft and related trades workers","Total","Males",2598,2984,186,2847,3213,187,2564,2709,184,2487,3022,183
