"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2289,2284,183,2309,2428,180,2371,2617,174,2629,2781,178
"Belgium",NA,NA,NA,2333,2529,166,2477,2750,160,2641,2871,169
"Bulgaria",408,165,182,545,208,176,734,326,166,812,389,182
"Croatia",NA,NA,NA,NA,NA,NA,1213,855,172,NA,NA,NA
"Cyprus",1580,1448,180,1293,1957,184,2244,1993,185,1848,1665,172
"Czech Rep.",838,433,171,1060,644,174,1136,822,174,1306,832,173
"Denmark",2373,3056,148,2375,3258,139,2735,3736,133,2758,3838,138
"Estonia",756,396,185,1014,648,177,1223,840,172,1488,1125,187
"Finland",1902,2256,169,2221,2590,169,2463,2943,167,2632,3219,167
"France",1704,1710,147,1876,2079,153,1768,1987,152,2026,2182,152
"Germany",2400,2483,168,2589,2662,165,2567,2681,164,2879,2921,167
"Greece",1572,1313,187,NA,NA,NA,2059,1895,177,1859,1588,174
"Hungary",831,445,187,959,573,185,1110,663,170,1182,680,177
"Iceland",2031,2659,210,2240,3359,206,1916,2046,NA,2330,2750,189
"Ireland",2028,2391,172,2538,3068,184,2831,3130,170,2962,3621,168
"Italy",1704,1600,181,1875,1918,180,1991,2038,171,2150,2213,185
"Latvia",563,284,180,718,413,175,580,528,159,1008,707,171
"Lithuania",657,323,179,959,518,175,981,580,169,1159,727,184
"Luxembourg",2410,2466,185,2439,2738,180,2432,2941,176,2770,3336,188
"Macedonia",NA,NA,NA,NA,NA,NA,965,374,169,889,414,183
"Malta",1641,1185,204,744,1195,192,1798,1314,195,1785,1444,179
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1213,673,182
"Netherlands",2194,2238,163,2213,2358,162,2391,2663,169,2418,2655,164
"Norway",2344,3423,165,2835,3759,166,2910,4298,164,3338,4889,162
"Poland",921,544,188,1053,612,180,1296,775,174,1629,909,189
"Portugal",985,754,172,1071,870,175,1143,947,176,1162,946,175
"Romania",470,194,190,621,310,181,873,433,175,918,488,188
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1063,536,186
"Slovakia",796,346,171,763,520,172,1059,709,166,1269,861,173
"Slovenia",1162,798,174,1281,956,180,1372,1154,168,1656,1353,179
"Spain",1732,1476,183,1811,1635,171,1846,1737,166,2066,1907,167
"Sweden",1771,2216,171,2116,2549,170,2322,2873,170,2703,3394,170
"Switzerland",NA,NA,NA,NA,NA,NA,3038,4357,177,3442,5125,179
"Turkey",NA,NA,NA,892,513,205,NA,NA,NA,1029,615,205
"United Kingdom",2308,2650,186,2500,2822,187,2254,2382,188,2240,2721,188
