"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Service and sales workers","Total","Males",2769,2763,172,2620,2755,166,2549,2814,162,2643,2797,163
"Belgium","Industry and construction","Service and sales workers","Total","Males",2910,2913,179,2701,2927,166,2910,3231,157,2672,2904,166
"Bulgaria","Industry and construction","Service and sales workers","Total","Males",251,102,183,327,125,174,458,203,162,520,249,181
"Croatia","Industry and construction","Service and sales workers","Total","Males",NA,NA,NA,NA,NA,NA,1360,958,169,NA,NA,NA
"Cyprus","Industry and construction","Service and sales workers","Total","Males",1300,1192,170,1101,1666,168,1838,1633,176,1279,1152,174
"Czech Rep.","Industry and construction","Service and sales workers","Total","Males",738,382,172,876,532,173,995,720,172,1147,730,170
"Denmark","Industry and construction","Service and sales workers","Total","Males",2121,2731,144,2200,3017,135,3028,4135,142,2612,3634,127
"Estonia","Industry and construction","Service and sales workers","Total","Males",560,294,179,734,469,170,719,494,160,911,689,175
"Finland","Industry and construction","Service and sales workers","Total","Males",1661,1970,163,2157,2515,164,2102,2511,160,2336,2857,162
"France","Industry and construction","Service and sales workers","Total","Males",1701,1707,148,1797,1991,154,2297,2582,141,1963,2114,149
"Germany","Industry and construction","Service and sales workers","Total","Males",2838,2937,162,3065,3151,156,2762,2885,149,2756,2797,147
"Greece","Industry and construction","Service and sales workers","Total","Males",1523,1271,173,2213,1900,184,1831,1685,167,1857,1586,171
"Hungary","Industry and construction","Service and sales workers","Total","Males",704,377,184,709,423,177,902,539,166,1188,683,175
"Iceland","Industry and construction","Service and sales workers","Total","Males",1909,2500,164,2112,3167,163,2131,2276,171,2121,2504,168
"Ireland","Industry and construction","Service and sales workers","Total","Males",2255,2659,156,2849,3444,172,2908,3216,165,2614,3196,166
"Italy","Industry and construction","Service and sales workers","Total","Males",2298,2159,181,2465,2522,175,2491,2549,170,2687,2766,182
"Latvia","Industry and construction","Service and sales workers","Total","Males",420,212,176,464,267,168,434,394,153,748,525,163
"Lithuania","Industry and construction","Service and sales workers","Total","Males",568,280,179,562,304,169,776,459,172,948,595,171
"Luxembourg","Industry and construction","Service and sales workers","Total","Males",2723,2786,186,2549,2861,172,2212,2676,169,2594,3123,183
"Macedonia","Industry and construction","Service and sales workers","Total","Males",NA,NA,NA,NA,NA,NA,960,372,169,877,408,181
"Malta","Industry and construction","Service and sales workers","Total","Males",1081,781,149,491,790,134,1778,1300,189,1466,1186,162
"Montenegro","Industry and construction","Service and sales workers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1125,624,183
"Netherlands","Industry and construction","Service and sales workers","Total","Males",2716,2770,162,2464,2626,158,2412,2687,151,2281,2505,149
"Norway","Industry and construction","Service and sales workers","Total","Males",2411,3522,156,2719,3605,150,2654,3920,148,2916,4271,146
"Poland","Industry and construction","Service and sales workers","Total","Males",846,500,186,947,550,173,1047,625,167,1237,691,184
"Portugal","Industry and construction","Service and sales workers","Total","Males",929,712,167,1294,1051,172,1352,1121,172,1235,1006,171
"Romania","Industry and construction","Service and sales workers","Total","Males",406,167,189,517,258,178,623,309,172,637,338,184
"Serbia","Industry and construction","Service and sales workers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1056,533,186
"Slovakia","Industry and construction","Service and sales workers","Total","Males",670,291,173,647,441,170,937,627,166,1154,782,174
"Slovenia","Industry and construction","Service and sales workers","Total","Males",1113,765,167,1333,995,177,1437,1209,166,1792,1463,180
"Spain","Industry and construction","Service and sales workers","Total","Males",1932,1647,180,1845,1666,168,1844,1735,164,1974,1822,163
"Sweden","Industry and construction","Service and sales workers","Total","Males",1689,2114,161,2268,2732,170,2341,2896,166,2467,3098,166
"Switzerland","Industry and construction","Service and sales workers","Total","Males",NA,NA,NA,NA,NA,NA,3090,4431,175,4016,5978,169
"Turkey","Industry and construction","Service and sales workers","Total","Males",NA,NA,NA,936,539,201,1070,661,202,1026,613,200
"United Kingdom","Industry and construction","Service and sales workers","Total","Males",2332,2678,165,2463,2779,169,2223,2349,170,2123,2579,171
