"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Skilled manual workers","Total","Males",2088,2084,181,2122,2232,177,2151,2374,170,2532,2679,177
"Belgium","Industry and construction","Skilled manual workers","Total","Males",NA,NA,NA,2233,2421,167,2393,2656,162,2568,2791,170
"Bulgaria","Industry and construction","Skilled manual workers","Total","Males",404,164,183,543,207,176,742,329,165,859,411,182
"Croatia","Industry and construction","Skilled manual workers","Total","Males",NA,NA,NA,NA,NA,NA,1112,783,171,NA,NA,NA
"Cyprus","Industry and construction","Skilled manual workers","Total","Males",1594,1461,175,1218,1844,174,2095,1861,178,1721,1550,171
"Czech Rep.","Industry and construction","Skilled manual workers","Total","Males",832,430,173,1065,648,175,1137,823,174,1322,842,173
"Denmark","Industry and construction","Skilled manual workers","Total","Males",2255,2903,141,2324,3187,136,2632,3594,132,2712,3774,135
"Estonia","Industry and construction","Skilled manual workers","Total","Males",742,389,185,1021,652,176,1183,813,170,1492,1128,185
"Finland","Industry and construction","Skilled manual workers","Total","Males",1871,2219,168,2195,2560,169,2407,2875,167,2566,3138,167
"France","Industry and construction","Skilled manual workers","Total","Males",1716,1722,148,1827,2025,153,1737,1952,151,2031,2188,153
"Germany","Industry and construction","Skilled manual workers","Total","Males",2355,2437,169,2521,2591,167,2483,2593,162,2850,2893,167
"Greece","Industry and construction","Skilled manual workers","Total","Males",1544,1289,184,1952,1676,182,2045,1882,174,1884,1609,171
"Hungary","Industry and construction","Skilled manual workers","Total","Males",788,422,187,910,543,185,1061,634,168,1177,677,176
"Iceland","Industry and construction","Skilled manual workers","Total","Males",2132,2791,198,2224,3335,190,2107,2250,185,2455,2897,187
"Ireland","Industry and construction","Skilled manual workers","Total","Males",2202,2596,169,2712,3279,180,2913,3221,169,2945,3600,168
"Italy","Industry and construction","Skilled manual workers","Total","Males",1740,1634,183,1821,1863,178,1945,1990,171,2164,2227,187
"Latvia","Industry and construction","Skilled manual workers","Total","Males",543,274,179,712,409,173,563,512,154,1001,702,165
"Lithuania","Industry and construction","Skilled manual workers","Total","Males",635,313,179,931,503,174,866,512,163,1034,649,179
"Luxembourg","Industry and construction","Skilled manual workers","Total","Males",2341,2396,184,2257,2534,176,2301,2783,173,2606,3139,189
"Macedonia","Industry and construction","Skilled manual workers","Total","Males",NA,NA,NA,NA,NA,NA,898,348,169,881,410,182
"Malta","Industry and construction","Skilled manual workers","Total","Males",1565,1130,197,746,1198,190,1959,1433,196,1811,1465,182
"Montenegro","Industry and construction","Skilled manual workers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1225,679,182
"Netherlands","Industry and construction","Skilled manual workers","Total","Males",2164,2207,163,2090,2227,161,2413,2688,167,2466,2709,166
"Norway","Industry and construction","Skilled manual workers","Total","Males",2350,3432,166,2782,3688,167,2880,4254,164,3171,4644,164
"Poland","Industry and construction","Skilled manual workers","Total","Males",910,538,189,1058,615,180,1203,719,173,1561,871,188
"Portugal","Industry and construction","Skilled manual workers","Total","Males",953,729,171,995,809,174,1073,889,175,1132,922,174
"Romania","Industry and construction","Skilled manual workers","Total","Males",458,188,190,610,304,180,832,412,173,876,465,187
"Serbia","Industry and construction","Skilled manual workers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1052,531,187
"Slovakia","Industry and construction","Skilled manual workers","Total","Males",772,336,173,751,512,173,1072,717,166,1288,873,175
"Slovenia","Industry and construction","Skilled manual workers","Total","Males",1156,794,175,1280,955,181,1351,1137,167,1609,1313,180
"Spain","Industry and construction","Skilled manual workers","Total","Males",1651,1407,183,1742,1573,171,1833,1724,168,2035,1879,169
"Sweden","Industry and construction","Skilled manual workers","Total","Males",1814,2270,172,2150,2591,172,2366,2927,173,2720,3416,172
"Switzerland","Industry and construction","Skilled manual workers","Total","Males",NA,NA,NA,NA,NA,NA,2967,4255,176,3436,5115,177
"Turkey","Industry and construction","Skilled manual workers","Total","Males",NA,NA,NA,863,497,203,1025,633,204,1014,607,204
"United Kingdom","Industry and construction","Skilled manual workers","Total","Males",2472,2839,186,2700,3048,187,2458,2597,186,2404,2921,185
