"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Technicians and associate professionals","Total","Males",3097,3090,178,3207,3372,175,3219,3553,169,3579,3787,176
"Belgium","Industry and construction","Technicians and associate professionals","Total","Males",3005,3009,179,3028,3283,170,3198,3550,162,3329,3619,169
"Bulgaria","Industry and construction","Technicians and associate professionals","Total","Males",511,207,183,682,260,174,1038,461,166,1224,586,181
"Croatia","Industry and construction","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,1668,1175,171,NA,NA,NA
"Cyprus","Industry and construction","Technicians and associate professionals","Total","Males",1947,1784,168,1499,2269,172,2664,2366,170,2340,2108,170
"Czech Rep.","Industry and construction","Technicians and associate professionals","Total","Males",1139,589,169,1472,895,170,1571,1137,170,1833,1168,171
"Denmark","Industry and construction","Technicians and associate professionals","Total","Males",3030,3902,160,3291,4513,160,3734,5099,158,3873,5389,158
"Estonia","Industry and construction","Technicians and associate professionals","Total","Males",1013,531,180,1276,815,174,1543,1060,167,1824,1379,182
"Finland","Industry and construction","Technicians and associate professionals","Total","Males",2192,2600,167,2553,2977,164,2838,3390,165,3063,3747,167
"France","Industry and construction","Technicians and associate professionals","Total","Males",2224,2232,150,2511,2783,154,2426,2726,153,2749,2961,154
"Germany","Industry and construction","Technicians and associate professionals","Total","Males",3545,3668,165,3770,3876,163,4109,4292,164,4223,4285,166
"Greece","Industry and construction","Technicians and associate professionals","Total","Males",2203,1839,201,2261,1941,178,2470,2273,176,2354,2011,173
"Hungary","Industry and construction","Technicians and associate professionals","Total","Males",1224,656,184,1325,791,182,1412,843,169,1776,1022,173
"Iceland","Industry and construction","Technicians and associate professionals","Total","Males",2857,3741,185,3253,4877,191,2623,2801,179,3307,3902,179
"Ireland","Industry and construction","Technicians and associate professionals","Total","Males",2995,3531,165,3430,4146,179,3767,4165,169,3935,4811,170
"Italy","Industry and construction","Technicians and associate professionals","Total","Males",2690,2527,182,2600,2660,176,2668,2731,171,2838,2921,185
"Latvia","Industry and construction","Technicians and associate professionals","Total","Males",701,353,176,881,506,166,763,694,154,1216,853,166
"Lithuania","Industry and construction","Technicians and associate professionals","Total","Males",693,341,171,975,527,166,1165,689,162,1290,809,173
"Luxembourg","Industry and construction","Technicians and associate professionals","Total","Males",3299,3376,177,3466,3891,174,3306,3999,169,3741,4505,186
"Macedonia","Industry and construction","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,1362,527,171,1224,569,183
"Malta","Industry and construction","Technicians and associate professionals","Total","Males",1897,1370,195,828,1331,187,2356,1723,194,2317,1874,184
"Montenegro","Industry and construction","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1805,1001,185
"Netherlands","Industry and construction","Technicians and associate professionals","Total","Males",2611,2663,161,2761,2943,162,3182,3545,167,3526,3872,167
"Norway","Industry and construction","Technicians and associate professionals","Total","Males",3061,4470,164,3701,4907,165,4094,6047,164,4506,6600,165
"Poland","Industry and construction","Technicians and associate professionals","Total","Males",1256,743,187,1436,835,175,1629,973,169,2085,1164,185
"Portugal","Industry and construction","Technicians and associate professionals","Total","Males",1760,1348,170,1835,1491,171,1853,1536,173,1856,1512,173
"Romania","Industry and construction","Technicians and associate professionals","Total","Males",627,258,189,829,414,178,1126,558,169,1222,649,185
"Serbia","Industry and construction","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1442,727,187
"Slovakia","Industry and construction","Technicians and associate professionals","Total","Males",1025,446,171,1042,710,168,1518,1015,162,1757,1191,175
"Slovenia","Industry and construction","Technicians and associate professionals","Total","Males",1816,1248,177,1959,1462,180,2058,1731,169,2353,1921,181
"Spain","Industry and construction","Technicians and associate professionals","Total","Males",2561,2183,182,2529,2284,169,2572,2420,167,2831,2613,168
"Sweden","Industry and construction","Technicians and associate professionals","Total","Males",2327,2912,172,2721,3279,172,2939,3636,174,3304,4149,174
"Switzerland","Industry and construction","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,3943,5655,176,4323,6436,176
"Turkey","Industry and construction","Technicians and associate professionals","Total","Males",NA,NA,NA,1340,771,201,1609,994,203,1595,954,204
"United Kingdom","Industry and construction","Technicians and associate professionals","Total","Males",3072,3527,169,3195,3606,170,3118,3295,177,2906,3531,176
